age,education,partner_education,n_children,islam,working,husband_occupation,living_standard,media_exposure,contraceptive
42,2,3,2,1,1,1,4,0,1
29,2,3,1,1,1,1,2,0,1
32,1,2,6,0,1,2,3,0,3
33,3,3,4,1,0,2,3,0,3
26,4,4,3,1,1,3,2,0,3
25,3,3,1,1,1,3,1,0,2
27,2,4,1,1,1,3,3,0,3
46,3,4,4,1,0,3,4,0,3
41,4,4,4,0,0,2,4,0,2
42,4,4,1,1,1,2,4,0,1
32,4,4,2,0,0,2,4,0,2
37,4,4,3,1,1,2,4,0,3
41,4,4,5,0,1,2,4,0,2
45,3,4,3,0,1,3,4,0,1
35,3,4,4,1,0,1,4,0,3
19,2,2,0,1,1,2,2,0,1
34,4,4,2,0,0,2,4,0,3
35,3,4,3,1,1,2,2,0,2
41,4,4,4,0,1,1,4,0,2
19,4,4,1,1,1,1,3,0,3
21,3,3,1,0,1,3,2,0,3
34,2,4,7,1,1,2,3,0,3
41,3,2,11,1,1,2,3,0,1
33,3,3,6,1,1,3,4,0,2
44,4,4,7,1,1,3,2,0,2
24,2,2,3,1,1,2,4,0,1
