,age,education,partner_education,n_children,islam,working,husband_occupation,living_standard,media_exposure,contraceptive
0,34,4,4,3,1,1,1,4,0,3
1,38,2,2,11,1,1,3,3,0,1
2,24,3,3,2,0,0,3,4,0,2
3,45,4,4,1,1,0,1,4,0,2
4,19,3,4,1,1,1,2,4,0,2
5,41,4,4,8,1,1,2,4,0,1
6,21,3,4,0,1,1,2,1,0,1
7,31,4,3,1,1,0,3,3,0,1
8,43,1,2,12,1,1,2,1,0,1
9,26,3,3,2,1,1,3,4,0,3
10,23,2,2,1,1,1,3,2,0,3
11,28,4,4,1,1,0,2,4,0,3
12,26,4,4,2,1,1,1,4,0,2
13,27,4,4,1,0,1,2,4,0,1
14,26,2,4,1,1,1,3,2,0,1
15,33,3,4,2,1,1,2,4,0,2
16,41,1,2,3,1,1,2,4,1,1
17,32,4,4,2,0,0,2,3,0,3
18,30,4,4,2,0,0,2,4,0,3
19,41,3,3,1,1,0,3,4,0,1
20,34,3,3,4,1,1,3,3,0,3
21,32,4,4,4,1,0,2,4,0,2
22,25,3,3,2,1,1,3,3,0,2
23,46,4,4,4,1,1,1,4,0,3
24,34,4,4,2,1,1,3,3,0,3
25,22,3,2,1,1,0,2,2,0,3
26,33,2,3,1,1,0,3,3,1,1
27,25,3,3,1,1,0,3,2,0,1
28,33,3,3,2,1,1,3,3,0,3
29,37,4,4,4,0,0,1,4,0,2
30,45,4,4,8,1,0,1,4,0,2
31,25,4,4,1,0,0,1,4,0,1
32,29,3,4,3,1,1,1,4,0,1
33,24,3,4,2,1,1,3,2,0,2
34,20,3,4,2,0,1,3,1,0,1
35,24,4,4,2,1,1,3,3,0,1
36,42,2,4,11,1,1,3,3,0,2
37,45,2,3,6,1,1,3,2,0,1
38,36,2,3,2,1,1,2,3,0,3
39,31,3,4,3,0,0,3,4,0,1
40,41,2,4,5,1,0,2,4,0,2
41,35,4,4,2,0,1,1,4,0,2
42,17,3,4,1,1,1,3,2,0,3
43,35,4,4,2,0,1,1,4,0,3
44,24,2,2,5,1,1,2,1,1,3
45,35,3,2,6,1,0,3,2,1,3
46,43,1,2,1,1,1,3,4,1,1
47,22,3,4,2,1,1,1,2,0,3
48,31,2,1,7,0,1,2,4,0,3
49,25,2,2,3,1,0,2,1,0,3
50,22,4,4,1,1,1,1,4,0,2
51,40,4,4,4,0,0,2,4,0,3
52,30,4,4,3,1,1,1,4,0,2
53,29,2,4,2,1,1,3,4,0,1
54,48,1,1,1,1,0,2,1,1,1
55,47,1,4,1,1,1,3,3,1,1
56,41,4,4,8,1,1,1,2,0,2
57,30,4,4,2,0,1,1,4,0,1
58,30,3,3,6,1,1,2,2,0,3
59,31,2,3,2,1,0,3,3,0,2
60,34,4,4,3,0,1,3,4,0,3
61,40,4,4,0,0,0,2,4,0,1
62,45,3,3,3,1,1,2,3,1,1
63,44,4,4,2,0,1,2,4,0,1
64,23,4,4,0,1,0,2,3,0,1
65,43,1,2,1,1,1,2,3,1,1
66,33,2,4,2,0,1,2,4,0,3
67,45,1,4,0,1,0,2,4,0,1
68,21,2,2,0,1,1,4,2,1,1
69,48,2,3,5,1,1,2,4,0,3
70,47,1,2,2,1,0,4,4,0,1
71,22,3,4,2,1,1,3,1,0,3
72,27,4,4,0,1,0,1,4,0,1
73,39,3,3,5,1,1,2,4,0,2
74,20,3,4,1,1,1,2,4,0,3
75,48,2,2,5,1,1,2,1,0,1
76,31,4,4,4,0,1,2,4,0,3
77,24,4,4,4,1,0,1,4,0,2
78,47,3,4,7,1,1,2,4,0,3
79,33,4,4,2,1,1,1,4,0,3
80,23,1,2,2,1,1,3,1,1,1
81,18,4,3,1,1,1,3,3,0,2
82,22,4,4,0,0,1,2,4,0,1
83,32,2,4,5,1,0,2,4,0,3
84,45,1,4,1,1,1,3,4,0,1
85,23,2,2,2,1,1,3,3,0,2
86,20,2,4,4,1,1,2,2,0,3
87,40,1,1,3,1,1,3,2,1,1
88,19,3,4,1,1,1,2,3,0,3
89,22,4,4,2,1,1,3,2,0,3
90,31,1,2,4,1,0,3,3,1,3
91,37,3,4,1,1,0,1,4,0,1
92,44,4,4,3,1,1,1,4,0,2
93,33,4,4,5,0,0,1,4,0,2
94,36,4,3,2,0,0,2,4,0,2
95,25,4,4,0,1,1,2,2,0,1
96,34,3,4,2,1,0,1,3,0,2
97,32,4,4,2,0,0,1,3,0,2
98,29,4,4,2,0,0,1,4,0,1
99,27,4,4,2,1,1,2,4,0,3
100,24,4,4,1,1,1,1,4,0,3
101,34,4,4,2,1,1,1,4,0,1
102,33,4,4,5,1,1,1,4,0,3
103,40,2,4,3,1,1,3,4,0,1
104,40,4,4,1,0,1,1,4,0,3
105,41,4,4,1,1,0,1,4,1,2
106,27,3,4,2,1,1,1,4,0,3
107,48,3,4,8,1,1,2,4,0,2
108,41,3,3,12,1,1,3,3,0,1
109,28,4,4,1,1,1,1,4,0,1
110,40,3,4,0,1,1,3,3,0,1
111,45,2,3,1,0,1,2,4,0,1
112,47,3,4,1,0,1,3,4,0,1
113,22,4,4,1,0,1,2,4,0,3
114,23,3,3,2,1,1,2,4,0,3
115,24,4,4,1,0,1,2,4,0,2
116,25,2,3,2,1,0,2,4,0,1
117,43,2,2,8,1,1,3,2,0,1
118,32,2,2,8,1,1,3,2,0,1
119,23,3,4,2,1,1,3,4,0,2
120,48,1,2,1,1,1,2,2,1,1
121,30,4,3,3,1,1,3,4,0,3
122,22,4,4,0,1,0,1,3,0,1
123,48,1,1,2,1,0,2,3,0,1
124,16,2,3,1,1,1,2,4,0,3
125,36,3,3,4,1,1,2,4,0,3
126,41,4,4,5,1,1,1,4,0,2
127,23,3,3,1,1,1,2,4,0,3
128,32,4,4,4,1,1,1,4,0,2
129,45,3,4,9,1,1,1,4,0,2
130,33,2,2,4,1,1,3,2,0,3
131,25,4,4,1,1,1,3,4,0,1
132,27,4,4,4,1,1,3,4,0,2
133,31,2,2,1,1,1,2,3,0,3
134,19,4,4,0,0,1,2,4,0,1
135,49,2,2,11,1,0,2,2,0,1
136,43,4,4,8,0,1,1,4,0,2
137,23,3,3,11,1,0,3,3,0,1
138,21,3,3,1,1,1,3,3,0,2
139,43,3,3,8,1,1,2,4,0,1
140,39,3,4,6,0,1,2,4,0,3
141,31,4,4,3,0,0,2,4,0,2
142,49,4,4,3,1,1,3,4,1,1
143,25,4,4,3,0,1,3,4,0,3
144,24,4,4,1,1,0,1,4,0,3
145,23,3,4,2,1,1,3,3,0,2
146,32,3,3,5,1,0,2,2,0,3
147,45,3,3,9,1,1,1,3,0,2
148,45,4,4,1,1,1,3,4,0,1
149,42,3,4,2,0,1,3,3,0,1
150,22,4,4,0,1,0,3,4,0,1
151,37,2,4,5,1,1,4,4,0,1
152,34,4,4,3,0,1,2,4,0,3
153,41,2,3,11,1,1,3,4,0,3
154,47,1,3,8,1,1,3,3,1,1
155,38,4,4,1,1,1,1,4,0,3
156,22,2,1,2,0,0,2,4,0,3
157,33,4,4,3,0,1,2,4,0,2
158,22,3,2,2,1,1,2,1,0,3
159,34,4,4,2,1,1,1,4,0,3
160,45,3,3,7,1,1,3,4,0,2
161,28,3,4,2,1,1,2,2,0,1
162,40,2,1,8,1,1,3,2,0,2
163,42,2,2,9,0,1,2,2,0,2
164,32,4,4,3,0,0,2,4,0,3
165,25,3,3,1,1,0,3,3,0,3
166,25,1,2,2,1,1,3,1,1,3
167,21,3,4,1,1,1,1,3,0,3
168,47,1,1,0,1,0,3,3,0,1
169,42,4,4,4,0,0,3,4,0,3
170,34,4,4,2,0,1,2,4,0,3
171,44,4,4,5,1,1,1,4,0,2
172,45,3,4,7,1,1,1,3,0,2
173,30,3,4,3,0,1,3,4,0,2
174,44,4,4,3,0,1,1,4,0,1
175,38,2,1,3,1,0,3,2,1,1
176,28,3,4,0,0,1,2,4,0,1
177,23,1,4,0,1,0,4,4,0,1
178,27,4,2,3,1,0,2,4,0,1
179,24,3,3,1,1,1,3,3,0,2
180,27,3,4,3,1,1,1,4,0,1
181,24,3,4,2,1,1,3,2,0,3
182,40,3,4,5,1,1,1,4,0,3
183,42,2,2,8,1,1,3,3,0,1
184,29,3,4,2,1,1,3,3,0,2
185,32,4,4,2,1,0,3,2,0,3
186,34,3,3,7,0,1,3,4,0,2
187,23,4,4,0,1,0,1,3,0,1
188,23,4,4,4,1,1,1,4,0,2
189,47,1,1,5,1,1,3,1,0,1
190,42,4,4,2,0,0,1,4,0,2
191,35,4,3,2,0,0,3,4,0,2
192,34,3,3,5,1,1,3,4,0,2
193,42,2,3,12,1,0,2,4,0,1
194,25,2,2,3,1,1,2,3,0,1
195,23,3,3,1,1,1,3,3,0,3
196,48,2,4,4,1,1,1,4,0,1
197,31,4,4,4,0,0,1,4,0,2
198,45,3,3,2,1,0,3,3,0,1
199,23,4,3,1,1,0,2,3,0,1
200,18,3,4,1,1,1,2,2,0,3
201,36,2,3,6,1,1,2,1,0,1
202,26,4,4,3,0,1,1,4,0,2
203,23,4,4,4,1,0,2,4,0,3
204,23,3,4,2,1,0,2,4,0,3
205,37,4,4,3,1,0,1,4,0,3
206,33,4,4,4,1,1,1,4,0,3
207,40,3,3,3,1,1,3,2,0,3
208,21,4,4,2,1,0,1,4,0,1
209,45,3,3,0,1,0,2,4,0,1
210,35,1,2,4,1,1,3,2,1,3
211,38,3,4,13,1,1,2,3,0,3
212,33,3,3,7,1,1,3,4,0,2
213,40,2,1,3,1,1,3,2,0,3
214,40,3,3,5,1,1,3,4,0,3
215,25,1,2,3,1,1,3,2,1,3
216,47,1,1,0,1,0,2,2,0,1
217,45,2,3,6,0,1,2,4,0,3
218,27,2,2,1,1,1,2,4,0,1
219,33,4,4,2,0,1,3,4,0,3
220,40,2,1,8,1,1,3,2,0,3
221,45,2,4,3,1,1,2,4,0,3
222,44,4,4,5,1,1,3,4,0,3
223,43,1,2,8,1,0,3,2,1,1
224,21,3,4,1,1,1,2,2,1,1
225,45,4,4,1,1,0,1,4,0,1
226,23,3,3,5,1,1,3,4,0,3
227,42,4,4,5,0,1,1,4,0,1
228,33,3,3,6,0,1,3,4,0,3
229,22,3,3,1,0,1,2,2,0,2
230,23,2,3,2,1,1,2,1,0,1
231,22,3,3,1,1,1,3,2,0,1
