,age,education,partner_education,n_children,islam,working,husband_occupation,living_standard,media_exposure,contraceptive
0,46,4,4,4,1,1,1,3,0,3
1,33,4,4,4,0,0,1,4,0,2
2,46,1,1,0,0,0,2,1,0,1
3,24,1,4,0,1,0,4,1,0,1
4,49,4,3,6,1,1,2,3,0,1
5,38,4,4,4,1,1,1,4,0,2
6,25,4,4,2,1,1,3,3,0,1
7,31,4,4,4,1,1,1,3,0,2
8,20,4,4,0,1,1,3,3,0,1
9,40,4,4,4,0,0,2,4,0,2
10,23,4,4,1,1,0,1,4,0,2
11,49,2,1,11,1,0,2,4,0,1
12,49,4,2,13,1,1,1,4,0,2
13,34,1,1,5,1,1,3,1,1,1
14,25,2,3,3,1,1,3,1,0,3
15,34,1,1,5,1,1,3,1,1,1
16,20,3,3,0,1,1,2,3,0,1
17,31,4,4,2,1,0,1,4,0,3
18,32,3,4,3,1,1,1,3,0,1
19,49,4,4,4,1,1,3,4,0,1
20,46,4,4,3,1,1,1,4,0,1
21,38,2,3,4,1,1,1,2,0,2
22,26,1,3,2,1,1,3,4,0,3
23,33,1,4,4,1,1,3,2,0,3
24,34,4,4,3,1,0,1,4,0,3
25,34,4,4,4,0,1,3,4,0,3
26,20,4,4,2,1,1,2,3,0,3
27,27,4,4,2,1,0,1,3,0,2
28,29,4,4,3,1,1,3,3,0,2
29,32,3,4,4,1,1,1,3,0,3
30,20,4,4,0,1,1,3,2,0,1
31,25,2,2,1,1,1,3,2,0,1
32,26,2,2,4,1,1,2,1,0,1
33,37,1,1,4,1,1,3,3,0,3
34,21,2,2,2,1,1,3,2,1,3
35,33,4,4,3,0,0,3,3,0,1
36,27,4,4,1,1,0,1,3,0,2
37,30,2,2,6,1,1,2,2,0,3
38,44,1,1,0,0,0,2,1,0,1
39,46,3,4,11,1,0,2,3,0,2
40,20,2,3,2,1,1,3,4,0,1
41,22,4,4,1,1,1,3,4,0,1
42,38,3,4,8,1,1,3,4,0,3
43,40,2,2,7,1,1,2,2,0,1
44,16,2,3,1,1,1,3,1,0,3
45,22,4,3,3,1,1,3,3,0,2
46,29,2,4,3,1,1,2,4,0,3
47,24,3,4,4,1,1,2,3,0,3
48,24,4,4,2,1,1,1,3,0,2
49,40,3,4,8,1,1,3,3,0,1
50,24,4,4,1,1,1,2,4,0,2
51,40,3,4,2,1,1,1,3,0,3
52,26,2,3,4,1,1,2,1,0,1
53,42,4,4,1,1,1,2,4,0,1
54,30,2,4,4,1,1,3,3,0,3
55,47,4,4,6,0,1,2,4,0,2
56,19,2,2,1,1,1,4,2,0,2
57,36,4,4,4,1,0,1,4,0,2
58,29,4,4,3,0,0,2,4,0,3
59,24,4,4,0,1,1,3,3,0,1
60,27,3,4,3,1,0,2,4,0,3
61,42,1,1,2,1,0,3,2,0,1
62,38,1,2,11,1,1,2,3,0,1
63,20,4,4,1,1,1,1,3,0,2
64,17,4,4,1,1,1,2,4,0,2
65,20,3,3,2,1,1,3,1,0,3
66,25,3,4,2,1,1,4,4,0,3
67,38,1,2,6,1,1,2,1,1,1
68,48,1,1,0,0,0,2,1,0,1
69,26,4,4,4,1,1,3,3,0,3
70,38,4,3,8,1,0,1,4,0,2
71,20,2,4,1,1,1,3,1,0,1
72,23,2,3,1,1,1,3,3,0,3
73,44,1,1,0,0,0,2,1,0,1
74,26,3,3,2,1,0,3,2,0,3
75,28,2,3,7,1,1,3,3,0,3
76,26,2,4,0,1,1,4,1,0,1
77,24,3,3,0,1,1,2,2,0,1
78,41,3,3,3,1,1,3,2,0,1
79,22,4,4,1,1,1,1,2,0,2
80,24,2,1,1,1,0,3,3,0,2
81,23,4,4,1,0,1,1,4,0,2
82,20,2,3,2,1,1,2,3,0,3
83,46,1,4,7,1,1,2,3,0,1
84,45,3,3,2,1,1,2,4,0,1
85,47,1,1,0,0,0,2,1,0,1
86,22,4,4,1,1,0,3,3,0,1
87,40,3,3,3,0,1,3,4,0,2
88,44,3,3,8,1,1,3,4,0,2
89,22,2,2,0,0,1,4,4,0,3
90,23,3,3,2,1,1,3,3,0,2
91,32,4,4,2,1,1,2,4,0,3
92,23,3,3,2,1,1,2,1,0,3
93,24,3,3,3,1,1,3,3,0,1
94,21,2,2,2,1,1,2,3,0,3
95,23,3,3,2,1,1,3,1,0,3
96,37,4,4,2,1,1,3,3,0,1
97,33,3,3,7,1,1,2,4,0,3
98,49,4,1,13,1,1,1,4,0,2
99,38,4,4,4,1,1,1,4,0,3
100,46,1,1,0,0,0,2,1,0,1
101,32,1,1,6,1,1,2,3,0,1
102,45,4,4,2,1,1,1,4,0,1
