,age,education,partner_education,n_children,islam,working,husband_occupation,living_standard,media_exposure,contraceptive
0,44,4,4,6,1,1,2,4,0,2
1,40,3,3,6,1,1,1,4,0,3
2,32,4,4,3,1,1,1,4,0,3
3,38,3,3,1,0,1,3,4,0,1
4,34,4,4,5,1,1,1,4,0,2
5,27,2,2,4,1,1,3,3,0,3
6,40,2,2,6,1,1,3,1,1,1
7,35,2,4,4,1,0,2,3,0,3
8,21,1,4,1,1,1,3,3,1,3
9,36,4,4,3,0,1,3,4,0,3
10,47,2,2,5,1,1,3,1,0,1
11,20,1,1,3,1,1,2,1,1,1
12,27,3,4,5,1,1,3,4,0,3
13,34,2,2,4,1,1,3,2,0,2
14,17,3,3,1,1,1,2,2,0,3
15,29,4,4,4,1,1,1,4,0,3
16,25,1,4,0,1,0,4,1,0,1
17,35,1,3,0,1,1,3,4,0,1
18,38,4,4,3,0,1,1,4,0,2
19,39,3,4,7,1,1,2,4,0,1
20,23,4,4,1,1,0,1,4,0,2
21,28,1,2,5,1,0,1,2,0,3
22,16,3,3,1,1,1,2,2,0,3
23,25,2,2,1,1,1,3,1,0,1
24,31,3,4,0,1,0,3,4,0,1
25,29,3,2,4,1,1,3,4,0,3
26,32,4,4,4,1,1,2,3,0,2
27,42,3,3,1,1,0,3,3,0,1
28,33,3,3,4,1,0,2,2,0,3
29,41,1,1,0,0,0,2,1,0,1
30,37,2,4,3,1,1,3,3,0,3
31,46,1,4,6,1,1,1,4,0,1
32,34,3,4,6,1,1,2,3,0,2
33,27,3,3,4,1,0,3,2,0,3
34,33,1,4,3,1,1,3,2,0,3
35,28,3,4,2,1,1,3,3,0,1
36,28,1,2,3,1,1,3,3,0,3
37,37,3,4,2,1,1,2,3,0,2
38,38,4,4,4,1,1,1,4,0,2
39,45,4,4,1,1,1,1,4,0,1
40,33,2,2,6,1,0,3,4,0,3
41,36,2,4,3,1,1,2,3,0,3
42,16,2,4,1,1,1,3,1,0,3
43,37,3,3,1,1,0,2,3,0,1
44,26,4,4,2,1,0,1,3,0,2
45,32,4,4,5,1,1,3,3,0,2
46,44,1,2,6,1,1,3,3,1,1
47,25,2,3,2,1,1,3,1,0,3
48,29,4,4,3,1,1,3,3,0,3
49,33,3,4,5,1,0,2,4,0,3
50,20,3,4,1,1,1,3,2,0,1
51,47,3,2,6,1,1,4,4,0,1
52,44,1,1,0,0,0,2,1,0,1
53,32,4,4,4,1,0,1,3,0,1
54,23,4,4,1,1,1,3,3,0,3
55,21,4,4,2,1,1,1,4,0,3
56,35,2,3,2,1,1,3,3,0,1
57,37,4,4,1,1,1,1,3,0,1
58,27,3,3,3,1,1,3,3,0,3
59,38,4,4,5,0,1,3,2,0,2
60,23,4,4,0,1,0,1,4,0,1
61,29,4,4,3,0,1,1,4,0,3
62,37,2,3,6,1,1,3,3,0,3
63,38,3,3,3,1,1,3,2,0,1
64,23,3,1,2,1,0,3,4,0,2
65,20,4,4,0,0,0,2,4,0,1
66,38,4,4,3,0,1,3,4,0,3
67,35,1,4,1,1,1,2,2,0,1
68,35,4,4,3,1,1,2,4,0,2
69,34,2,2,1,1,1,2,1,0,1
70,41,3,3,4,1,1,3,2,0,1
71,40,2,2,1,1,0,3,2,0,1
72,45,4,4,3,1,0,1,4,0,2
73,32,3,4,4,1,1,1,3,0,2
74,20,3,4,1,1,1,3,2,0,3
75,26,3,1,2,1,0,3,4,0,2
76,33,4,4,2,0,1,1,4,0,3
77,33,1,3,0,1,1,2,2,1,1
78,26,3,4,4,1,1,2,4,0,3
79,27,3,3,3,1,1,3,3,0,2
80,22,2,4,3,1,1,3,4,0,1
81,44,3,3,10,0,1,2,4,0,3
82,40,2,4,7,1,1,1,4,0,2
83,24,3,3,2,1,1,3,3,0,2
84,39,4,4,7,1,1,1,4,0,2
85,22,3,3,2,1,1,2,3,0,3
86,29,4,4,3,1,1,3,3,0,3
87,37,3,4,2,0,1,2,4,0,1
88,31,1,2,4,1,1,3,3,0,3
89,28,3,3,2,1,0,3,4,0,2
90,44,1,2,8,1,0,3,4,1,3
91,49,1,3,0,1,1,3,3,1,1
92,20,1,2,3,1,1,3,1,1,3
93,44,1,1,0,0,0,2,1,0,1
94,16,3,4,1,1,1,3,4,0,3
95,24,3,4,1,1,1,3,3,0,3
96,42,4,4,5,1,1,1,4,0,2
97,39,1,4,5,1,0,2,4,0,3
98,31,2,3,6,1,1,3,1,0,3
99,18,2,2,2,1,1,2,2,1,1
100,45,3,4,1,1,1,1,3,0,1
101,27,2,4,3,1,1,3,3,0,3
102,32,4,4,2,1,0,1,3,0,1
103,42,2,3,7,1,1,3,4,0,2
104,42,2,4,9,1,1,1,4,0,2
105,25,3,3,4,1,1,3,2,0,1
106,23,4,4,2,1,1,1,2,0,2
107,43,1,1,0,0,0,2,1,0,1
108,45,3,4,0,1,1,1,3,0,1
109,40,3,4,4,1,1,1,3,0,2
110,37,1,2,5,1,0,1,2,0,2
111,43,3,4,1,1,1,1,3,0,1
112,43,1,2,7,1,0,3,4,1,3
113,38,4,4,4,1,1,1,4,0,3
114,22,4,4,1,0,1,2,4,0,3
115,20,2,2,1,1,1,3,2,0,3
116,39,2,3,9,1,1,2,3,0,2
117,20,3,3,3,1,1,2,3,0,3
118,34,1,1,5,1,1,3,4,0,3
119,24,4,4,1,1,0,1,4,0,2
120,20,3,3,1,1,1,2,3,0,3
121,23,4,4,1,1,0,3,3,0,1
122,27,4,4,1,0,1,1,4,0,2
123,39,1,2,11,1,1,2,3,0,1
124,20,3,3,1,1,1,3,4,0,1
125,43,1,1,0,0,0,2,1,0,1
126,39,4,4,3,0,1,3,4,0,2
127,47,1,1,8,1,0,2,3,1,1
128,31,4,4,3,1,1,3,3,0,2
129,24,2,4,1,1,1,3,3,0,3
130,44,1,4,2,1,1,1,3,0,2
131,32,3,3,6,1,1,3,4,0,2
132,28,4,4,0,1,0,1,4,0,1
133,28,4,4,2,1,1,3,3,0,1
134,25,4,4,3,1,1,3,4,0,3
135,38,4,4,3,1,0,1,4,0,3
136,41,4,4,3,0,1,1,4,0,2
137,25,4,4,3,1,1,3,4,0,3
138,44,2,2,1,1,0,3,2,0,1
139,28,4,4,3,1,1,1,4,0,3
140,49,1,3,0,1,1,3,4,1,1
141,30,4,4,3,1,0,1,3,0,1
142,20,2,3,1,1,1,3,2,0,3
143,21,3,3,1,1,1,3,3,0,2
144,23,2,3,3,1,1,2,4,0,1
145,38,1,1,2,1,0,3,4,0,1
146,42,3,4,3,0,1,2,4,0,1
147,23,4,4,1,1,1,1,2,0,2
148,49,1,2,0,1,1,3,3,1,3
149,25,1,1,2,1,1,2,1,1,1
150,25,3,4,2,1,1,3,3,0,3
151,29,3,3,3,1,0,2,4,0,1
152,46,2,1,5,0,1,2,4,0,1
153,26,3,4,2,1,1,1,3,0,1
154,43,1,1,0,0,0,2,1,0,1
155,21,1,2,2,1,1,2,3,0,3
156,31,3,3,5,1,1,3,3,0,3
157,49,3,1,13,1,0,2,4,0,1
158,28,4,4,1,1,0,1,4,0,1
159,33,3,4,0,1,0,3,4,0,1
160,49,3,1,13,1,0,2,4,0,1
161,47,1,1,13,1,1,4,1,1,2
162,28,3,3,3,1,1,3,3,0,3
163,26,4,4,0,1,0,1,4,0,1
164,25,1,1,2,1,1,3,4,0,2
165,27,3,4,2,1,1,3,1,0,1
166,34,2,2,4,1,1,3,3,0,3
167,46,1,1,7,1,1,2,3,1,1
168,41,3,4,10,1,0,3,2,0,1
169,37,4,4,6,1,1,1,4,0,2
170,25,3,3,3,1,1,3,3,0,3
171,32,4,4,3,1,1,3,4,0,2
172,37,1,4,2,1,1,2,2,0,1
173,19,2,2,1,1,0,3,2,0,3
174,46,1,1,8,1,1,2,3,1,1
175,23,4,3,2,1,1,3,3,0,3
176,29,3,3,4,1,1,2,1,0,3
177,19,2,2,1,1,1,3,2,0,3
178,26,2,3,1,1,1,3,1,0,2
179,32,3,4,5,1,1,1,2,0,2
180,28,3,3,2,1,0,2,2,0,3
181,20,3,4,1,1,1,3,2,0,2
182,31,3,4,5,1,1,1,4,0,3
183,41,4,4,4,0,1,1,4,0,2
184,35,1,4,4,1,1,3,2,0,3
185,33,4,4,5,1,0,1,3,0,1
186,46,1,1,7,1,1,2,3,1,1
187,44,2,3,6,1,1,2,4,0,3
188,28,1,4,3,1,1,4,4,1,3
189,24,3,4,3,1,1,3,4,0,3
190,47,2,4,2,1,1,1,3,0,1
191,23,3,4,3,1,1,2,3,0,3
192,22,1,1,3,1,1,2,1,1,1
193,24,3,1,2,1,0,3,4,0,2
194,35,2,3,6,1,1,3,3,0,3
195,20,2,4,1,1,1,2,4,0,1
196,35,4,4,2,1,0,1,4,0,1
197,27,1,1,2,1,1,3,4,0,2
198,45,4,4,5,0,1,2,4,0,1
199,43,3,1,4,1,0,3,1,0,1
200,20,2,2,2,1,1,2,2,1,1
201,43,4,4,6,1,1,1,4,0,3
202,35,3,3,2,1,1,1,4,0,1
203,29,3,3,2,1,1,3,2,0,3
204,16,3,4,0,1,1,3,1,0,3
205,45,1,1,8,1,1,2,2,1,1
206,42,1,3,5,1,0,3,2,0,1
207,29,1,1,7,1,1,3,3,0,1
208,35,1,2,5,1,1,3,3,0,3
209,24,2,1,2,1,0,3,3,0,2
210,29,3,3,1,1,0,3,4,0,2
211,47,2,3,4,1,1,2,3,0,1
212,44,1,1,0,0,0,2,1,0,1
213,31,4,4,4,1,1,1,4,0,3
214,25,2,4,1,1,1,3,1,0,1
215,38,3,3,2,0,1,3,4,0,3
216,34,2,3,4,1,1,1,2,0,2
217,23,4,4,2,1,1,3,3,0,3
218,46,2,2,4,1,1,2,3,0,1
219,24,4,4,2,1,1,2,3,0,2
220,22,4,4,1,1,0,3,3,0,1
221,43,4,4,1,1,1,1,4,0,1
222,25,3,1,2,1,0,3,4,0,2
223,30,2,2,6,1,1,3,1,0,3
224,24,2,4,1,1,1,3,1,0,1
225,32,3,3,3,1,0,2,2,0,3
226,31,4,4,3,1,0,1,3,0,2
227,31,1,2,4,1,1,3,3,0,3
228,37,4,3,1,1,0,2,3,0,3
229,44,1,2,1,1,0,3,3,0,1
230,26,4,4,1,1,0,1,3,0,2
231,26,4,4,2,0,1,1,4,0,1
232,17,3,4,1,1,1,2,1,0,3
233,16,2,2,1,1,1,3,1,0,3
234,39,3,1,1,1,1,2,3,0,1
235,40,2,3,1,1,0,2,3,0,1
236,41,3,4,5,1,1,2,4,0,3
237,40,3,4,9,1,1,1,4,0,2
238,34,2,2,8,1,1,2,3,0,2
239,22,3,3,1,1,1,3,1,0,3
240,22,4,4,1,1,1,2,1,0,2
241,48,1,3,3,1,0,2,2,1,1
242,24,4,4,1,0,1,3,4,0,2
243,46,1,1,0,0,0,2,1,0,1
244,35,2,4,3,1,1,2,3,0,3
245,30,2,1,2,1,0,3,3,0,2
246,45,1,2,8,1,0,3,4,1,3
247,40,4,2,7,1,1,3,3,0,1
248,20,2,2,1,1,1,3,2,0,3
249,27,3,3,2,1,0,3,3,0,2
250,34,3,3,6,1,1,3,4,0,2
251,25,3,2,3,1,1,2,1,0,3
252,24,2,2,1,1,1,3,2,0,2
253,40,1,3,12,1,1,3,3,0,1
