,sepal_length,sepal_width,petal_length,petal_width,species
91,6.1,3.0,4.6,1.4,Iris-versicolor
41,4.5,2.3,1.3,0.3,Iris-setosa
58,6.6,2.9,4.6,1.3,Iris-versicolor
90,5.5,2.6,4.4,1.2,Iris-versicolor
48,5.3,3.7,1.5,0.2,Iris-setosa
88,5.6,3.0,4.1,1.3,Iris-versicolor
107,7.3,2.9,6.3,1.8,Iris-virginica
124,6.7,3.3,5.7,2.1,Iris-virginica
21,5.1,3.7,1.5,0.4,Iris-setosa
57,4.9,2.4,3.3,1.0,Iris-versicolor
144,6.7,3.3,5.7,2.5,Iris-virginica
129,7.2,3.0,5.8,1.6,Iris-virginica
37,4.9,3.1,1.5,0.1,Iris-setosa
140,6.7,3.1,5.6,2.4,Iris-virginica
1,4.9,3.0,1.4,0.2,Iris-setosa
52,6.9,3.1,4.9,1.5,Iris-versicolor
130,7.4,2.8,6.1,1.9,Iris-virginica
103,6.3,2.9,5.6,1.8,Iris-virginica
99,5.7,2.8,4.1,1.3,Iris-versicolor
116,6.5,3.0,5.5,1.8,Iris-virginica
87,6.3,2.3,4.4,1.3,Iris-versicolor
74,6.4,2.9,4.3,1.3,Iris-versicolor
121,5.6,2.8,4.9,2.0,Iris-virginica
149,5.9,3.0,5.1,1.8,Iris-virginica
20,5.4,3.4,1.7,0.2,Iris-setosa
71,6.1,2.8,4.0,1.3,Iris-versicolor
106,4.9,2.5,4.5,1.7,Iris-virginica
14,5.8,4.0,1.2,0.2,Iris-setosa
92,5.8,2.6,4.0,1.2,Iris-versicolor
102,7.1,3.0,5.9,2.1,Iris-virginica
