,age,education,partner_education,n_children,islam,working,husband_occupation,living_standard,media_exposure,contraceptive
0,35,4,4,3,0,1,1,4,0,3
1,25,2,3,4,1,1,3,3,0,2
2,35,4,4,3,1,1,1,4,0,3
3,35,2,2,4,1,1,3,4,0,1
4,25,2,3,4,1,1,3,2,0,2
5,45,2,4,4,0,1,3,4,0,1
6,35,4,4,3,1,1,1,4,0,2
7,45,2,3,4,0,1,3,4,0,1
8,25,4,4,3,1,1,3,2,0,3
9,45,2,4,4,0,1,3,4,0,1
10,35,4,4,3,1,1,3,2,0,3
11,35,4,4,3,1,1,1,4,0,3
12,25,3,4,4,1,1,3,3,0,2
13,25,2,3,4,1,1,3,3,0,2
14,35,2,2,4,1,1,3,1,0,1
15,25,2,2,4,1,1,3,3,0,2
16,25,2,3,4,1,1,3,3,0,3
17,35,4,4,3,1,1,1,4,0,2
18,25,2,3,4,1,1,3,3,0,3
19,25,2,3,4,1,1,3,3,0,2
20,35,4,4,3,1,1,1,4,0,3
21,35,4,4,3,1,1,1,2,0,3
22,25,2,2,4,1,1,3,1,0,1
23,35,2,2,4,1,1,3,4,0,1
24,35,4,4,3,1,1,1,2,0,3
25,35,4,4,3,1,1,3,4,0,2
26,45,2,3,4,1,1,3,4,0,1
27,25,2,3,4,1,1,3,3,0,2
28,35,2,2,4,1,1,3,4,0,1
29,45,2,4,4,0,0,3,4,0,1
30,25,4,4,3,1,1,3,2,0,3
31,35,4,4,3,1,1,1,4,0,3
32,45,4,4,4,0,0,3,4,0,1
33,25,2,2,4,1,1,3,3,0,2
34,25,2,2,7,1,1,3,3,0,2
35,45,2,3,4,1,1,3,4,0,1
36,45,4,4,4,0,1,3,4,0,1
37,35,4,4,3,1,1,1,4,0,2
38,45,2,4,4,0,1,3,4,0,1
39,35,4,4,3,0,1,3,4,0,2
40,25,2,3,4,1,1,3,3,0,2
41,25,2,3,7,1,1,3,3,0,2
42,35,4,4,3,1,1,1,4,0,3
43,25,2,3,4,1,1,3,3,0,3
44,45,2,4,4,1,1,3,4,0,1
45,35,4,4,3,1,1,1,4,0,3
46,25,2,2,4,1,1,3,1,0,2
47,35,2,2,4,1,1,3,4,0,1
48,25,2,3,7,1,1,3,3,0,3
49,35,2,2,4,1,1,3,1,0,2
50,35,4,4,3,1,1,1,4,0,3
51,25,4,4,3,1,1,3,2,0,3
52,35,2,2,4,1,1,3,1,0,1
53,35,4,4,3,1,1,1,4,0,3
54,35,2,2,4,1,1,3,1,0,1
55,35,2,3,4,1,1,3,4,0,1
56,25,2,2,4,1,1,3,1,1,1
57,25,2,3,4,1,1,3,3,0,2
58,35,2,2,4,1,1,3,4,0,1
59,35,4,4,3,0,1,3,4,0,2
60,35,2,3,4,1,1,3,4,0,1
61,25,2,3,7,1,1,3,3,0,2
62,35,4,4,3,1,1,1,4,0,3
63,25,2,3,7,1,1,3,3,0,3
64,35,2,3,4,1,1,3,4,0,1
65,45,4,4,4,1,1,3,4,0,1
66,35,4,4,3,1,1,1,4,0,3
67,35,2,2,4,1,1,3,1,1,1
68,35,2,2,4,1,1,3,1,0,2
69,35,2,2,4,1,1,3,1,0,1
70,35,2,2,4,1,1,3,4,0,1
71,35,4,4,3,1,1,1,2,0,3
72,25,2,2,4,1,1,3,3,0,2
73,35,4,4,3,1,1,1,2,0,3
74,35,4,4,3,1,1,1,4,0,3
75,35,4,4,3,1,1,1,4,0,2
76,45,2,3,4,0,1,3,4,0,1
77,35,4,4,3,1,1,1,4,0,3
78,45,2,3,4,1,1,3,4,0,1
79,35,2,2,4,1,1,3,1,0,1
80,45,2,3,4,1,1,3,4,0,1
81,25,2,3,4,1,1,3,3,0,2
82,35,4,4,3,1,1,1,4,0,3
83,25,4,4,3,1,1,3,3,0,3
84,35,4,4,3,1,1,3,4,0,2
85,25,4,4,3,1,1,3,3,0,3
