,age,education,partner_education,n_children,islam,working,husband_occupation,living_standard,media_exposure,contraceptive
0,35,4,4,4,1,1,3,4,0,3
1,33,4,4,2,1,0,1,4,0,1
2,25,4,4,2,1,0,1,3,0,2
3,18,3,4,1,1,1,3,3,0,1
4,37,2,3,3,1,1,3,4,0,1
5,16,2,3,2,1,1,3,2,0,1
6,40,3,4,2,1,1,2,4,0,1
7,36,4,4,5,1,1,2,4,0,3
8,35,4,4,3,1,1,3,4,0,3
9,24,2,3,0,1,1,3,4,0,1
10,29,2,3,2,1,1,3,3,0,3
11,17,3,3,2,1,1,3,3,0,1
12,23,2,3,0,1,1,3,2,0,1
13,43,2,3,5,1,1,2,2,0,1
14,48,3,4,1,1,1,1,4,0,1
15,20,2,3,0,1,1,3,2,0,1
16,37,4,4,5,1,1,1,4,0,3
17,26,3,4,5,1,1,2,3,0,3
18,34,2,3,2,1,1,3,4,0,1
19,48,1,2,7,1,1,2,1,1,1
20,25,4,4,1,0,1,2,4,0,2
21,41,4,4,3,1,1,1,4,0,3
22,25,3,4,2,1,1,3,3,0,3
23,33,4,4,2,1,1,3,3,0,3
24,30,4,4,2,1,1,1,3,0,3
25,20,2,3,1,1,1,3,2,0,3
26,27,2,2,4,1,1,3,4,0,3
27,44,1,2,7,1,1,3,2,1,1
28,46,4,4,7,1,1,1,4,0,2
29,47,1,3,8,1,1,3,3,0,1
30,44,4,4,4,0,1,2,4,0,2
31,44,3,4,5,1,1,3,3,0,1
32,33,2,3,3,1,1,3,3,0,1
33,26,3,4,2,1,1,3,4,0,1
34,44,1,2,8,1,1,2,2,0,1
35,27,4,4,3,1,1,3,3,0,3
36,42,4,4,4,1,1,1,4,0,2
37,47,3,1,6,1,1,3,2,0,1
38,31,2,3,3,1,1,3,3,0,3
39,37,3,4,4,1,1,2,4,0,3
40,45,1,2,6,1,1,3,3,1,1
41,36,2,4,6,1,1,2,4,0,1
42,25,4,4,2,1,1,1,3,0,2
43,50,1,2,9,1,1,3,1,1,1
44,26,3,3,3,1,1,3,2,0,3
45,22,2,3,2,1,1,3,3,0,1
46,26,3,3,3,1,1,3,2,0,1
47,51,1,1,9,1,1,3,4,1,1
48,25,4,4,1,1,1,1,4,0,1
49,27,3,3,3,1,1,3,2,0,3
50,26,4,4,2,1,1,3,4,0,3
51,25,4,4,2,1,1,3,4,0,3
52,22,4,4,1,1,1,1,3,0,1
53,23,2,2,1,1,1,3,4,0,1
54,20,2,2,1,1,1,3,3,0,1
55,47,2,4,1,1,1,1,3,0,1
56,33,4,4,1,0,1,3,4,0,1
57,23,4,4,1,1,1,3,3,0,1
58,27,3,3,2,1,1,3,2,0,3
59,48,4,4,5,1,1,1,4,0,3
60,35,4,4,3,0,1,1,4,0,2
61,40,2,3,3,1,1,3,1,1,1
62,31,3,4,5,1,1,2,3,0,3
63,34,3,3,4,1,1,2,3,0,1
64,28,4,4,2,1,1,2,4,0,3
65,44,3,4,8,1,1,1,3,0,1
66,26,3,4,1,1,0,3,3,0,1
67,45,2,3,1,1,0,2,4,1,1
68,51,1,2,10,1,1,2,3,1,1
69,43,1,2,7,1,1,3,1,1,1
70,41,4,4,4,1,1,1,4,0,2
71,34,2,3,3,1,1,2,4,0,1
72,22,4,4,1,1,1,1,4,0,1
73,48,3,4,5,1,1,1,4,0,3
74,48,4,4,4,1,1,1,4,0,2
75,16,2,3,1,1,1,3,3,0,1
76,44,4,4,5,1,1,1,4,0,2
77,36,3,4,2,1,1,3,3,0,1
78,28,4,4,3,1,1,3,2,0,3
79,27,3,4,3,1,1,3,1,0,1
80,46,2,3,7,1,1,3,4,0,1
81,47,1,1,5,1,1,3,1,1,1
82,30,4,4,1,1,1,3,1,0,1
83,45,4,4,4,0,1,1,4,0,2
84,37,1,2,6,1,1,3,1,1,1
85,47,2,3,8,1,1,2,4,0,2
86,19,3,3,1,1,1,3,4,0,3
87,28,2,3,5,1,1,3,3,0,3
88,27,2,3,3,1,1,3,2,0,3
