,age,education,partner_education,n_children,islam,working,husband_occupation,living_standard,media_exposure,contraceptive
0,37,4,4,4,0,0,1,4,0,2
1,35,1,2,4,1,1,3,1,0,1
2,40,1,2,6,1,1,2,4,0,1
3,52,4,4,4,1,1,1,4,0,2
4,31,3,4,4,1,1,3,3,0,2
5,17,4,4,1,1,1,3,3,0,3
6,24,3,4,1,1,1,3,3,0,3
7,42,1,1,1,1,1,3,2,0,1
8,19,2,3,1,1,1,3,2,0,1
9,20,4,4,1,1,1,1,3,0,2
10,32,4,4,4,1,1,3,2,0,3
11,41,4,4,3,1,1,3,2,0,3
12,45,1,2,1,1,1,2,4,0,1
13,20,2,2,1,1,1,3,3,0,1
14,37,4,4,3,1,1,1,4,0,2
15,25,4,4,2,1,1,1,4,0,1
16,35,2,3,2,1,1,3,2,0,1
17,26,4,4,1,1,1,3,4,0,3
18,18,3,3,1,1,1,3,1,0,1
19,37,3,4,4,1,1,3,4,0,3
20,21,4,4,3,1,1,3,1,0,3
21,20,2,2,1,1,1,3,3,0,3
22,23,2,2,1,1,1,3,2,0,1
23,43,1,2,5,1,1,3,2,0,1
24,22,2,3,1,1,1,3,2,0,1
25,27,4,4,2,1,1,1,3,0,2
26,24,3,4,3,1,1,3,4,0,3
27,42,3,4,5,1,1,3,4,0,3
28,43,4,4,7,1,1,1,3,0,2
29,46,1,1,6,1,1,2,3,0,1
30,21,4,4,1,1,1,3,3,0,3
31,32,3,4,2,1,1,3,3,0,3
32,13,4,4,1,1,1,1,3,0,1
33,22,2,3,1,1,1,3,2,0,1
34,48,1,1,6,1,1,2,3,0,1
35,43,3,4,3,1,1,1,4,0,1
36,37,2,3,9,1,1,3,2,0,1
37,42,2,2,0,1,1,3,3,0,1
38,24,2,3,3,1,1,3,2,0,3
39,47,1,2,8,1,1,2,2,0,1
40,46,4,4,2,1,1,1,4,0,1
41,21,4,4,1,1,1,2,4,0,1
42,30,2,3,4,1,1,3,2,0,1
43,49,1,2,0,1,1,2,4,0,1
44,40,4,4,2,1,1,1,3,0,2
45,22,2,2,1,1,1,3,4,0,1
46,47,3,4,8,1,1,1,2,0,1
47,23,2,4,1,1,1,3,1,0,1
48,32,4,4,3,1,1,3,3,0,3
49,38,3,4,6,1,1,1,4,0,2
50,50,4,4,4,1,1,1,4,0,1
51,25,1,3,1,1,1,2,2,0,1
52,35,2,3,6,1,1,3,3,0,1
53,38,4,4,5,1,1,1,4,0,2
54,46,4,4,7,1,1,1,4,0,2
55,39,3,4,6,1,1,2,4,0,1
56,35,2,2,7,1,1,2,4,0,3
57,27,4,4,2,1,1,1,4,0,1
58,31,4,4,3,1,1,1,4,0,2
59,23,3,4,1,1,0,1,2,0,1
60,24,3,3,4,1,1,3,2,0,3
61,21,3,3,1,1,1,3,3,0,3
62,23,3,4,1,1,1,3,1,0,1
63,26,2,3,2,1,1,3,4,0,1
64,40,2,3,8,1,1,2,4,0,3
65,23,2,3,3,1,1,3,2,0,3
66,19,3,4,1,1,1,3,2,0,1
67,21,3,4,2,1,1,3,2,0,1
68,47,3,4,5,1,1,1,4,0,3
69,49,2,4,0,1,1,2,3,0,1
70,35,3,4,2,1,1,1,3,0,1
71,48,3,4,5,1,1,1,4,0,2
72,22,2,3,2,1,1,3,2,0,3
73,24,2,3,2,1,1,3,3,0,3
74,43,3,4,7,1,1,1,3,0,1
75,49,2,3,8,1,1,2,3,0,1
76,17,2,2,3,1,1,3,2,0,3
77,36,3,4,5,1,1,3,4,0,3
78,50,1,1,8,1,1,2,1,1,1
