,age,education,partner_education,n_children,islam,working,husband_occupation,living_standard,media_exposure,contraceptive
0,38,4,4,4,0,0,1,3,0,3
1,22,4,4,1,1,0,1,4,0,1
2,34,1,2,4,1,1,2,3,1,3
3,42,4,4,4,0,1,2,4,0,3
4,20,4,4,2,1,0,1,3,0,3
5,22,3,3,1,1,1,2,2,0,3
6,26,3,4,3,1,1,3,4,0,3
7,36,3,3,8,1,1,2,3,0,1
8,26,2,2,3,1,0,3,3,0,3
9,46,4,4,13,1,0,2,4,0,2
10,22,3,3,1,1,1,3,2,0,3
11,33,4,4,4,0,0,1,4,0,2
12,29,3,4,3,0,1,1,3,0,3
13,25,3,3,3,1,1,2,4,0,1
14,34,4,4,2,0,0,1,4,0,2
15,32,4,4,0,1,0,1,4,0,1
16,45,3,3,5,1,0,1,4,0,3
17,48,3,3,5,0,1,3,4,0,1
18,35,4,4,3,0,0,1,4,0,2
19,39,1,2,2,1,0,3,4,0,2
20,45,2,2,6,1,0,2,4,0,1
21,33,3,3,2,0,0,3,4,0,2
22,43,2,3,4,1,1,3,3,0,2
23,32,2,3,2,1,0,3,2,0,1
24,30,2,3,3,1,1,3,4,0,3
25,28,4,4,1,1,1,1,3,0,1
26,25,3,3,2,1,1,2,3,0,1
27,26,4,4,2,1,0,1,4,0,1
28,36,4,4,4,0,1,2,4,0,2
29,38,4,4,13,0,0,3,4,0,3
30,38,3,4,4,1,0,1,1,0,1
31,30,2,2,5,1,0,4,3,0,3
32,45,4,4,5,1,0,1,4,0,1
33,27,4,4,1,1,1,1,4,0,2
34,25,2,1,3,1,1,3,3,0,1
35,34,4,4,2,1,1,2,4,0,2
36,24,2,2,3,1,1,2,4,0,3
37,19,4,4,1,1,1,1,2,0,2
38,29,3,2,4,1,0,2,2,0,3
39,22,1,1,0,1,1,2,1,0,1
40,35,4,4,4,1,0,1,4,0,1
41,40,1,1,6,1,1,2,2,1,1
42,33,1,3,0,1,1,3,2,0,1
43,29,4,4,2,1,1,3,3,0,1
44,31,3,4,3,0,1,2,4,0,3
45,31,3,3,4,1,1,3,2,1,1
46,46,1,1,11,1,0,4,3,1,1
47,22,4,4,2,1,1,2,3,0,3
48,25,4,4,3,1,0,1,3,0,3
49,29,3,3,3,1,0,2,3,0,3
50,40,3,4,5,0,0,2,4,0,2
51,26,4,4,3,1,1,3,4,0,3
52,30,3,3,6,1,1,3,3,0,1
53,30,4,3,3,1,0,3,2,0,3
54,23,3,3,2,1,1,3,2,0,2
55,21,3,4,0,1,1,2,2,0,1
56,42,3,4,5,1,1,1,3,0,2
57,45,4,4,2,1,1,1,4,0,1
58,26,2,3,3,1,1,3,4,0,3
59,44,2,4,9,0,1,3,3,0,1
60,28,4,4,1,0,0,3,4,0,2
61,32,2,1,5,1,1,3,1,0,2
62,26,2,4,2,1,1,1,3,0,1
63,39,4,4,3,0,0,3,4,0,2
64,31,4,4,3,1,1,2,3,0,3
65,41,4,4,4,0,0,2,4,0,3
66,49,2,3,5,1,1,3,2,0,1
67,33,3,4,3,0,1,3,4,0,2
68,22,2,4,2,1,1,3,3,0,3
69,32,3,3,5,1,1,2,3,0,1
70,47,2,4,10,1,0,3,3,0,1
71,40,4,4,4,1,1,1,4,0,3
72,32,4,4,3,0,0,1,4,0,2
73,32,4,4,2,0,0,1,4,0,3
74,49,1,1,2,1,0,1,2,1,1
75,27,3,3,4,1,1,3,2,0,3
76,22,2,1,2,1,1,3,4,0,1
77,27,2,3,3,1,0,3,3,0,3
78,35,4,4,5,0,1,1,4,0,2
79,39,4,4,3,0,0,1,4,0,2
80,32,4,4,3,0,1,1,4,0,1
81,37,4,4,3,0,0,1,4,0,3
82,30,4,4,8,1,1,1,4,0,2
83,27,2,3,3,1,0,3,1,0,3
84,29,3,3,1,0,1,1,4,0,1
85,29,4,4,3,1,1,1,4,0,1
86,27,2,4,1,1,1,4,3,0,1
87,44,3,4,3,0,1,3,3,0,2
88,39,4,4,3,0,1,1,4,0,3
89,39,4,4,5,1,0,1,4,0,2
90,44,2,2,6,1,1,3,3,0,2
91,25,4,4,2,1,0,1,3,0,3
92,44,2,4,7,1,1,1,4,0,1
93,29,3,3,5,0,0,2,4,0,2
94,25,4,4,1,1,1,1,3,0,1
95,35,4,4,5,0,0,2,4,0,2
96,49,2,2,8,1,1,4,3,0,1
97,32,4,4,3,0,1,2,4,0,2
98,38,3,4,5,1,1,1,3,0,3
99,26,4,4,3,1,0,1,4,0,2
100,40,4,4,3,0,0,2,4,0,2
101,30,4,4,3,0,1,3,4,0,3
102,23,3,3,1,1,1,3,2,0,3
103,28,3,2,4,0,1,3,3,0,3
104,43,3,3,5,1,1,1,2,0,2
105,35,3,3,5,1,0,2,2,0,1
106,34,2,3,4,1,0,2,2,0,1
107,27,2,4,3,1,1,3,3,0,3
108,39,4,4,3,1,0,1,4,0,3
109,37,2,2,3,1,0,2,3,0,1
110,47,1,2,3,1,0,1,3,1,1
111,43,4,4,1,0,1,1,4,0,3
112,34,4,4,2,0,0,1,4,0,1
113,48,3,4,16,1,1,3,4,0,1
114,37,3,3,6,1,1,2,4,0,1
115,23,4,4,1,1,0,1,4,0,2
116,30,4,4,1,1,0,1,4,0,1
117,38,4,4,7,0,1,3,3,0,1
