,age,education,partner_education,n_children,islam,working,husband_occupation,living_standard,media_exposure,contraceptive
0,28,1,2,1,1,1,3,4,0,3
1,41,2,3,11,1,1,3,4,0,1
2,30,3,4,4,1,1,3,2,0,3
3,34,4,4,4,1,1,3,3,0,2
4,23,1,2,4,1,1,3,2,1,3
5,28,2,1,3,1,0,3,2,0,2
6,25,4,4,1,1,1,1,4,0,1
7,19,2,2,1,1,1,3,1,0,1
8,16,2,2,1,1,1,3,1,0,3
9,32,4,4,4,1,0,3,3,0,2
10,27,4,4,0,0,0,2,4,0,1
11,28,3,4,3,1,1,1,2,0,3
12,27,1,1,3,1,1,3,4,0,2
13,28,2,4,4,1,1,3,4,0,3
14,29,2,3,4,1,1,2,1,0,3
15,30,4,4,0,1,0,1,4,0,1
16,25,2,2,1,1,1,3,3,0,3
17,35,1,4,2,1,1,2,2,0,1
18,43,4,4,3,1,1,1,4,0,3
19,35,3,3,4,1,1,3,4,0,1
20,32,4,4,2,1,1,1,4,0,3
21,20,2,3,3,1,1,3,3,0,3
22,30,4,3,2,1,1,2,4,0,3
23,20,4,4,1,1,1,1,3,0,3
24,28,4,2,0,1,0,2,2,0,1
25,39,1,2,12,1,1,2,3,0,1
26,21,2,4,1,1,1,2,4,0,3
27,33,4,4,0,1,0,3,3,0,1
28,47,1,1,6,1,1,2,4,0,1
29,39,4,4,4,0,0,2,4,0,2
30,23,3,4,2,1,1,3,4,0,1
31,44,3,4,3,1,1,1,4,0,1
32,26,3,3,1,1,0,3,4,0,2
33,41,3,3,3,1,0,2,4,0,1
34,21,2,2,2,1,1,2,3,0,3
35,45,1,1,7,1,1,2,2,1,1
36,40,2,3,1,1,0,2,3,0,1
37,30,2,4,4,1,1,1,4,0,3
38,36,2,2,7,1,1,2,3,0,1
39,35,2,3,1,1,1,3,4,0,1
40,30,3,3,5,1,0,3,4,0,1
41,25,2,2,3,1,1,2,1,0,1
42,32,3,3,8,1,0,3,4,0,3
43,36,4,4,4,0,0,2,4,0,2
44,28,4,4,2,1,0,1,4,0,2
45,24,3,4,2,1,1,3,3,0,2
46,42,4,4,6,0,1,1,3,0,2
47,18,3,3,3,1,1,3,2,0,1
48,36,1,2,6,1,1,2,2,1,3
49,31,2,4,4,1,0,1,4,0,1
50,25,4,4,1,1,1,2,4,0,2
51,26,2,4,1,1,0,1,1,0,1
52,28,2,4,0,1,0,3,4,0,1
53,27,3,3,1,0,0,2,4,0,2
54,48,1,1,7,1,1,2,4,0,1
55,39,3,4,4,1,1,1,3,0,3
56,18,4,4,0,1,1,3,2,0,1
57,40,3,4,13,1,1,2,3,0,2
58,27,4,4,1,1,1,2,1,0,1
59,26,4,4,1,0,1,3,4,0,3
60,28,2,4,5,1,1,3,4,0,3
61,27,4,4,1,1,1,1,4,0,2
62,40,4,4,5,1,1,1,4,0,2
63,36,1,2,9,1,0,3,1,0,2
64,33,2,2,7,1,1,2,3,0,1
65,41,3,4,2,0,1,3,4,0,1
66,26,2,4,3,1,1,3,4,0,1
67,37,3,3,4,1,1,1,3,0,2
68,47,1,1,10,1,1,3,3,0,2
69,32,4,4,4,1,0,3,4,0,3
70,25,4,3,4,1,1,2,3,0,1
71,25,3,3,1,1,1,3,1,0,2
72,28,2,3,5,1,0,2,3,0,3
73,28,2,2,2,1,1,3,1,0,1
74,19,4,4,2,1,1,3,3,0,3
75,33,1,4,4,1,1,3,4,1,3
76,22,4,4,1,1,1,2,4,0,2
77,42,4,4,7,1,1,1,4,0,2
78,21,2,1,0,1,1,3,2,0,1
79,20,3,3,1,1,1,2,3,0,3
80,25,2,4,3,1,1,3,4,0,1
81,31,4,4,0,0,0,3,3,0,1
82,40,3,1,1,1,1,2,3,0,1
83,22,3,1,4,1,1,3,1,0,2
84,38,4,4,1,1,1,3,3,0,1
85,45,3,4,4,1,0,3,4,0,3
86,44,4,4,5,0,1,1,4,0,2
87,47,3,4,1,1,1,1,3,0,1
88,30,2,3,2,1,1,3,3,0,2
89,43,4,4,4,0,1,2,4,0,3
90,29,3,4,2,1,1,1,4,0,2
91,32,4,4,1,1,1,1,4,0,2
92,25,3,3,1,1,1,3,4,0,1
93,31,4,4,3,1,1,1,3,0,2
94,33,2,1,5,1,1,2,1,0,2
95,32,4,4,2,1,1,1,4,0,2
96,25,3,1,2,1,0,3,4,0,2
97,44,4,4,3,1,1,1,4,0,3
98,44,4,4,0,1,1,2,4,0,1
99,30,4,4,4,1,1,1,2,0,2
100,44,1,1,12,1,1,4,1,1,1
101,32,4,2,0,1,0,2,3,0,1
102,44,4,4,6,1,1,1,4,0,2
103,25,3,3,1,1,0,3,4,0,2
104,48,4,4,6,1,0,1,4,0,2
105,31,3,4,4,1,1,3,4,0,3
106,35,3,3,1,1,1,3,4,0,1
107,30,4,4,3,1,0,1,3,0,1
108,26,3,3,2,1,1,1,2,0,2
109,28,4,4,5,1,1,1,4,0,1
110,32,4,4,2,0,1,1,4,0,1
111,31,2,2,4,1,1,2,2,1,3
112,44,1,4,2,1,1,1,3,0,2
113,18,2,2,2,1,1,2,2,1,1
114,25,4,4,3,1,1,1,4,0,1
115,20,4,4,0,1,1,3,3,0,1
116,29,4,4,1,1,1,1,3,0,1
117,36,4,4,5,1,0,3,4,0,3
118,20,4,4,1,1,1,1,3,0,3
119,31,2,3,3,0,1,2,4,0,1
120,25,3,4,1,1,0,4,1,0,1
121,17,3,4,1,1,1,3,4,0,2
122,34,3,3,8,1,1,3,2,0,1
123,44,1,2,7,1,1,3,1,1,1
124,44,3,3,5,0,1,2,4,0,2
125,40,3,4,8,1,1,3,3,0,1
126,31,4,4,4,0,0,1,4,0,3
127,28,4,4,4,1,0,3,4,0,3
128,30,3,4,7,1,1,2,4,0,2
129,38,4,4,4,1,1,1,4,0,2
130,28,3,4,2,1,1,3,4,0,1
131,22,3,4,4,1,1,3,1,1,1
132,16,3,4,1,1,1,3,3,0,1
133,43,3,3,7,0,1,2,4,0,3
134,29,3,4,3,1,1,1,3,0,2
135,42,3,4,6,1,1,3,4,0,1
136,24,2,2,1,1,1,3,2,0,3
137,48,3,3,11,1,1,1,4,0,2
138,24,4,4,1,1,1,2,3,0,1
