,age,education,partner_education,n_children,islam,working,husband_occupation,living_standard,media_exposure,contraceptive
0,35,2,3,7,1,1,3,2,0,1
1,25,2,4,1,1,1,3,3,0,2
2,35,2,1,2,1,1,2,2,0,1
3,25,4,4,2,1,1,1,2,0,1
4,35,2,4,7,1,1,3,2,0,1
5,25,2,4,1,1,1,3,2,0,2
6,25,2,4,2,1,1,3,3,0,2
7,45,1,1,0,1,1,2,2,0,1
8,25,3,3,4,1,0,3,3,0,3
9,25,2,3,4,1,1,3,1,0,2
10,35,2,4,7,1,1,3,2,0,1
11,45,2,1,0,1,1,2,2,0,1
12,25,3,4,1,1,1,3,2,0,2
13,25,3,3,4,1,1,3,3,0,2
14,35,2,3,7,1,1,3,2,0,1
15,35,2,4,0,1,1,3,2,0,1
16,25,3,4,1,1,1,3,2,0,2
17,25,3,3,4,1,1,3,3,0,2
18,35,2,4,7,1,1,3,2,0,1
19,35,2,1,2,1,1,2,2,0,1
20,35,2,4,0,1,1,3,2,0,1
21,35,2,3,7,1,1,3,2,0,1
22,25,4,4,2,1,1,3,2,0,1
23,25,4,4,2,1,1,3,2,0,1
24,35,2,4,0,1,1,3,2,0,1
25,25,2,3,4,1,1,3,3,0,2
26,25,2,4,1,1,1,3,2,0,2
27,35,2,3,4,1,1,3,1,0,2
28,25,3,3,1,1,1,3,2,0,2
29,25,3,4,1,1,1,3,2,0,2
30,25,2,3,4,1,1,3,1,0,2
31,25,2,3,4,1,0,3,3,0,3
32,25,2,4,2,1,1,3,2,0,2
33,35,2,3,4,1,1,3,1,0,2
34,25,3,4,1,1,1,3,2,0,2
35,25,2,3,4,1,1,3,3,0,3
36,45,2,4,0,1,1,2,2,0,1
37,25,2,3,4,1,0,3,3,0,3
38,25,3,3,1,1,1,3,3,0,2
39,25,2,4,0,1,1,3,2,0,1
40,25,3,3,4,1,1,3,3,0,2
41,25,2,4,4,1,1,3,2,0,2
42,25,2,4,2,1,1,3,2,0,1
43,25,2,4,1,1,1,3,2,0,2
44,25,2,3,4,1,0,3,3,0,3
45,35,2,4,0,1,1,3,2,0,1
46,45,2,1,0,1,1,2,2,0,1
47,25,4,4,2,1,1,3,2,0,2
48,25,2,4,2,1,1,3,2,0,2
49,25,2,3,4,1,1,3,3,0,2
50,35,2,3,7,1,1,3,2,0,1
51,25,4,4,2,1,1,3,2,0,1
52,35,2,4,7,1,1,3,2,0,1
53,25,2,4,2,1,1,3,3,0,2
54,35,2,3,2,1,1,3,2,0,1
55,45,2,1,0,1,1,2,2,0,1
56,35,2,3,2,1,1,3,2,0,1
57,45,2,4,0,1,1,2,2,0,1
58,25,2,3,4,1,0,3,3,0,3
59,35,2,1,2,1,1,2,2,0,1
60,35,2,3,2,1,1,3,2,0,1
61,25,2,3,4,1,1,3,3,0,3
62,25,2,4,1,1,1,3,3,0,2
63,25,2,3,4,1,1,3,3,0,2
64,25,2,3,4,1,1,3,1,0,2
65,35,2,3,7,1,1,3,2,0,2
66,25,2,3,4,1,1,3,3,0,2
67,25,2,3,4,1,1,3,1,0,2
68,25,2,3,4,1,1,3,1,0,3
69,25,2,4,1,1,1,3,2,0,2
70,35,2,4,0,1,1,3,2,0,1
71,25,4,4,2,1,1,3,2,0,1
72,25,3,3,4,1,1,3,3,0,2
73,45,2,1,0,1,1,2,2,0,1
74,45,2,1,0,1,1,2,2,0,1
75,45,2,1,0,1,1,2,2,0,1
76,45,2,4,0,1,1,2,2,0,1
77,25,3,3,1,1,1,3,3,0,2
78,25,2,3,4,1,1,3,3,0,3
79,35,2,3,7,1,1,3,2,0,1
80,35,2,4,0,1,1,3,2,0,1
81,35,2,4,0,1,1,3,2,0,1
82,25,3,4,1,1,1,3,2,0,2
83,35,2,4,0,1,1,3,2,0,1
84,25,2,3,4,1,0,3,3,0,3
85,25,4,4,0,1,1,3,2,0,1
86,25,2,3,4,1,1,3,3,0,2
87,45,2,1,0,1,1,2,2,0,1
88,45,2,1,0,1,1,2,2,0,1
89,25,2,3,4,1,1,3,1,0,2
90,45,2,1,2,1,1,2,2,0,1
91,45,2,4,0,1,1,2,2,0,1
92,25,2,4,2,1,1,3,2,0,1
93,25,2,4,2,1,1,3,2,0,1
94,25,2,3,4,1,1,3,3,0,2
95,45,2,1,0,1,1,2,2,0,1
96,25,2,3,4,1,1,3,1,0,2
97,45,2,1,0,0,1,2,2,0,1
98,25,2,3,4,1,0,3,3,0,3
99,35,2,4,0,1,1,3,2,0,1
100,25,2,3,1,1,1,3,3,0,2
101,45,2,4,0,1,1,2,2,0,1
102,45,2,1,0,1,1,2,2,0,1
103,25,2,4,1,1,1,3,2,0,2
104,25,2,3,4,1,1,3,3,0,2
105,25,3,3,1,1,1,3,3,0,3
106,45,2,4,0,1,1,2,2,0,1
107,45,2,4,0,1,1,2,2,0,1
108,25,2,3,4,1,1,3,1,0,2
109,45,2,4,0,1,1,2,2,0,1
110,45,2,1,0,1,1,2,2,0,1
111,35,2,3,4,1,1,3,1,0,2
112,45,2,1,0,1,1,2,2,0,1
113,35,2,3,0,1,1,3,2,0,1
114,25,4,4,2,1,1,3,2,0,2
115,45,1,4,0,1,1,2,2,0,1
116,25,2,3,4,1,1,3,1,0,2
117,25,3,4,1,1,1,3,3,0,2
118,25,4,4,2,1,1,3,2,0,1
119,25,3,3,1,1,1,3,2,0,3
120,35,2,3,7,1,1,3,2,0,1
121,25,2,3,4,1,1,3,3,0,3
122,45,2,1,0,1,1,2,2,0,1
123,25,2,4,1,1,1,3,2,0,2
124,25,2,4,2,1,1,3,2,0,2
125,35,2,1,2,1,1,2,2,0,1
126,25,4,4,2,1,1,3,2,0,1
127,25,2,4,1,1,1,3,3,0,2
0,35,2,3,4,1,1,3,1,0,2
1,25,3,3,1,1,1,3,3,0,2
2,45,2,1,0,1,1,2,2,0,1
3,25,2,4,1,1,1,3,2,0,2
4,25,3,3,1,1,1,3,3,0,3
5,25,2,3,4,1,1,3,1,0,2
6,25,3,3,4,1,0,3,3,0,3
7,25,2,3,4,1,0,3,3,0,3
8,25,2,4,2,1,1,3,2,0,2
9,25,2,3,4,1,0,3,3,0,3
10,45,2,1,0,0,1,2,2,0,1
11,25,2,4,2,1,1,3,2,0,2
12,25,2,3,4,1,0,3,3,0,3
13,25,2,4,1,1,1,3,3,0,2
14,45,2,4,0,1,1,2,2,0,1
15,25,3,4,1,1,1,3,2,0,2
16,35,2,3,2,1,1,3,2,0,1
17,25,3,3,4,1,1,3,3,0,2
18,35,2,1,2,1,1,3,2,0,1
19,35,2,4,7,1,1,3,2,0,1
20,25,3,3,1,1,1,3,3,0,2
21,25,2,3,4,1,0,3,3,0,3
22,25,2,4,2,1,1,3,2,0,1
23,25,2,3,4,1,0,3,3,0,3
24,25,2,3,4,1,1,3,1,0,2
25,45,2,1,0,1,1,2,2,0,1
26,25,2,4,1,1,1,3,2,0,2
27,35,2,3,7,1,1,3,2,0,1
28,25,2,4,0,1,1,3,2,0,1
29,35,2,1,2,1,1,3,2,0,1
30,35,2,3,7,1,1,3,2,0,1
31,35,2,3,4,1,1,3,1,0,2
32,25,2,3,4,1,1,3,3,0,2
33,35,2,3,2,1,1,3,2,0,1
34,25,2,4,1,1,1,3,2,0,2
35,25,4,4,2,1,1,3,2,0,2
36,25,3,3,1,1,1,3,2,0,3
37,35,2,4,7,1,1,3,2,0,1
38,25,2,4,1,1,1,3,2,0,2
39,25,2,4,1,1,1,3,3,0,2
40,35,2,3,4,1,1,3,1,0,2
41,45,2,4,2,1,1,2,2,0,1
42,45,2,1,0,1,1,2,2,0,1
43,25,3,3,4,1,1,3,3,0,3
44,25,3,4,1,1,1,3,2,0,2
45,45,2,1,0,1,1,2,2,0,1
46,35,2,3,7,1,1,3,2,0,1
47,25,2,3,7,1,1,3,2,0,2
48,25,3,4,1,1,1,3,2,0,2
49,45,2,4,0,1,1,2,2,0,1
50,35,2,3,4,1,1,3,1,0,2
51,25,2,4,1,1,1,3,2,0,2
52,25,2,4,1,1,1,3,2,0,2
53,25,2,4,2,1,1,3,2,0,2
54,25,2,3,1,1,1,3,3,0,2
55,35,2,4,0,1,1,2,2,0,1
56,25,2,4,2,1,1,3,3,0,2
57,25,3,3,4,1,1,3,3,0,3
58,45,2,1,0,1,1,2,2,0,1
59,25,2,4,2,1,1,3,2,0,2
60,35,2,4,7,1,1,3,2,0,1
61,25,2,3,4,1,1,3,1,0,2
62,35,2,4,0,1,1,3,2,0,1
63,35,2,3,7,1,1,3,2,0,1
64,35,2,3,7,1,1,3,2,0,1
65,25,4,4,2,1,1,3,2,0,1
66,45,2,1,0,1,1,2,2,0,1
67,45,2,4,0,1,1,2,2,0,1
68,35,2,3,2,1,1,3,2,0,1
69,35,2,3,7,1,1,3,2,0,1
70,25,2,3,4,1,1,3,3,0,3
71,25,2,4,2,1,1,3,3,0,2
72,45,2,4,0,1,1,2,2,0,1
73,25,4,4,2,1,1,3,2,0,1
74,35,2,1,2,1,1,3,2,0,1
75,35,2,4,0,1,1,2,2,0,1
76,25,2,4,0,1,1,3,2,0,1
77,25,2,3,4,1,0,3,3,0,3
78,25,2,4,7,1,1,3,2,0,1
79,25,2,3,4,1,1,3,3,0,3
80,35,2,1,2,1,1,3,2,0,1
81,35,2,4,0,1,1,3,2,0,1
82,35,2,3,7,1,1,3,2,0,1
83,25,2,2,4,1,0,3,3,0,3
84,25,3,4,1,1,1,3,2,0,2
85,35,2,4,0,1,1,2,2,0,1
86,35,2,1,0,1,1,3,2,0,1
87,25,2,3,4,1,1,3,1,0,2
88,25,3,3,1,1,1,3,3,0,3
89,25,2,3,4,1,1,3,3,0,3
90,45,2,4,0,1,1,3,2,0,1
91,45,2,4,2,1,1,3,2,0,1
92,25,3,3,4,1,1,3,3,0,2
93,35,2,3,7,1,1,3,1,0,2
94,25,4,4,2,1,1,1,2,0,1
95,25,3,4,1,1,1,3,2,0,2
96,25,3,4,1,1,1,3,2,0,2
97,25,2,4,2,1,1,3,2,0,2
98,25,2,4,1,1,1,3,2,0,2
99,45,2,4,0,1,1,2,2,0,1
100,25,3,3,1,1,1,3,3,0,2
