,age,education,partner_education,n_children,islam,working,husband_occupation,living_standard,media_exposure,contraceptive
0,33,4,4,3,1,0,1,4,0,2
1,32,3,3,1,1,0,2,4,0,1
2,28,3,4,5,1,1,1,3,0,2
3,26,2,4,1,1,1,3,3,0,1
4,47,1,1,8,1,1,2,3,1,1
5,40,4,4,6,0,0,1,4,0,1
6,35,4,4,5,1,0,4,3,1,3
7,19,1,2,1,1,1,2,2,0,3
8,28,1,2,1,1,1,2,4,0,1
9,32,1,2,0,1,1,3,4,0,1
10,34,2,2,6,1,1,3,4,0,3
11,37,4,4,6,1,1,3,3,0,3
12,27,2,2,1,1,1,4,3,0,1
13,27,4,4,5,1,1,1,2,0,2
14,33,3,3,4,1,1,3,4,0,3
15,36,2,2,6,1,1,2,3,0,1
16,44,1,2,6,0,1,2,3,0,1
17,35,3,3,9,1,1,3,2,1,3
18,25,3,3,3,1,1,3,2,0,3
19,22,2,4,0,1,1,3,2,0,1
20,32,2,1,5,1,1,3,1,0,1
21,49,3,4,10,1,1,3,1,0,1
22,26,3,4,3,1,1,3,4,0,3
23,27,4,4,2,1,1,1,4,0,3
24,45,2,3,6,1,0,2,4,0,1
25,49,1,2,2,1,1,1,2,1,1
26,40,3,1,0,1,1,2,4,0,1
27,27,2,2,7,1,1,3,4,0,3
28,32,3,3,4,1,1,2,2,0,1
29,34,2,2,6,1,0,3,2,0,1
30,42,4,4,3,1,1,1,4,0,1
31,19,3,4,0,1,1,3,1,0,1
32,47,4,4,4,1,1,1,4,0,2
33,28,3,4,2,1,1,1,4,0,1
34,22,2,4,0,1,1,3,4,0,1
35,31,3,4,5,1,1,1,2,1,1
36,33,4,4,3,0,0,2,4,0,3
37,25,2,2,0,1,0,3,4,0,1
38,23,2,3,1,1,0,2,2,0,1
39,49,3,3,12,1,1,2,4,0,1
40,26,2,3,1,1,0,2,4,0,3
41,42,2,2,5,1,0,2,2,0,1
42,24,3,4,2,1,1,1,4,0,2
43,28,3,4,2,0,0,1,3,0,2
44,21,3,3,1,1,1,3,1,0,1
45,27,2,3,1,1,0,3,4,0,3
46,39,4,4,5,1,1,2,4,0,2
47,32,4,4,4,1,1,3,4,0,3
48,29,4,4,3,1,1,1,3,0,2
49,24,2,2,2,1,1,3,1,0,1
50,30,3,4,4,0,1,3,3,0,3
51,29,4,4,4,0,0,1,3,0,3
52,26,4,4,1,0,1,3,4,0,3
53,21,3,3,1,1,1,3,4,0,3
54,30,3,3,4,1,1,2,4,0,2
55,45,3,3,3,1,1,2,3,1,1
56,47,1,2,10,1,1,3,3,0,1
57,22,2,3,1,1,1,3,4,0,1
58,45,3,3,8,1,1,1,3,0,1
59,33,4,4,3,1,1,1,4,0,3
60,20,2,3,1,1,1,3,2,0,3
61,31,2,3,4,1,0,3,2,0,3
62,38,2,3,6,1,1,3,3,0,1
63,32,1,1,0,1,1,3,3,0,1
64,24,4,4,1,1,1,1,4,0,2
65,27,2,2,2,1,0,3,2,1,3
66,39,4,4,5,1,1,1,4,0,3
67,45,3,4,7,1,1,1,4,0,2
68,37,2,3,6,1,1,1,3,0,1
69,25,4,4,1,1,1,1,2,0,3
70,27,2,2,5,1,1,3,1,0,3
71,27,4,4,1,0,1,3,4,0,1
72,32,4,4,4,0,1,3,4,0,2
73,17,2,4,1,1,1,2,2,0,3
74,44,3,3,2,1,1,1,2,0,1
75,24,3,3,0,1,0,3,2,0,1
76,20,2,3,2,1,0,3,2,0,3
77,33,4,4,3,1,0,2,4,0,2
78,28,4,4,4,0,1,1,3,0,3
79,43,4,4,5,1,1,1,4,0,1
80,23,4,4,2,1,0,1,4,0,1
81,26,4,4,1,1,0,2,4,0,3
82,23,3,3,1,1,1,3,2,0,3
83,25,4,4,1,1,1,1,3,0,3
84,38,4,4,6,1,0,1,4,0,3
85,24,3,3,3,1,1,2,1,0,1
86,37,1,2,2,1,1,2,3,1,1
87,49,1,1,8,1,1,3,1,1,1
88,31,4,4,2,1,0,1,4,0,1
89,26,3,4,4,1,1,2,3,0,3
90,20,1,2,3,1,1,3,4,0,3
91,30,2,2,4,0,1,2,4,0,3
92,44,4,4,6,1,1,1,4,0,3
93,30,4,4,3,0,1,1,3,0,1
94,45,4,4,1,0,1,1,4,0,1
95,29,3,4,4,1,0,2,4,0,3
96,27,3,4,4,0,1,2,4,0,3
97,25,2,3,1,1,1,4,3,0,3
98,41,3,4,5,1,1,1,4,0,2
99,35,2,3,5,1,0,3,4,0,3
100,22,2,1,2,1,1,3,4,0,1
101,24,4,4,2,1,1,2,3,0,2
102,26,2,2,3,1,1,3,4,0,3
103,36,2,3,6,1,0,3,2,0,1
104,38,4,4,6,1,1,1,4,0,3
105,41,3,4,9,1,1,3,4,0,3
106,41,4,4,3,0,1,2,4,0,2
107,45,3,3,3,0,1,2,4,0,1
108,47,1,1,8,1,0,3,1,1,1
109,46,4,4,11,1,1,1,3,0,1
110,22,1,2,3,1,1,2,1,0,3
111,30,1,2,5,1,1,3,3,0,3
112,21,3,4,4,1,1,3,3,0,1
113,37,4,4,4,1,1,1,4,0,2
114,47,2,1,5,1,1,4,3,0,1
115,32,2,3,5,1,0,3,4,0,3
116,33,3,3,7,1,1,3,3,0,2
117,48,1,2,8,1,1,2,3,0,1
118,24,4,4,2,1,1,3,3,0,1
119,45,4,4,1,1,1,1,4,0,3
120,28,4,4,1,0,1,1,3,0,3
121,24,3,4,1,1,1,4,4,0,2
122,28,3,4,0,0,0,1,4,0,1
123,25,2,2,1,1,1,3,4,0,1
124,47,1,1,6,1,1,2,3,0,1
125,26,2,3,1,1,0,2,4,0,3
126,30,1,3,4,1,1,3,4,0,3
127,29,4,4,1,1,1,1,3,0,3
128,27,4,4,1,0,0,1,4,0,1
129,40,2,2,6,1,1,3,2,0,1
130,30,3,2,6,1,1,2,4,0,3
131,23,3,3,2,1,0,3,2,0,3
132,37,4,2,4,1,0,1,3,1,2
133,34,3,3,4,1,1,2,3,0,3
134,20,3,3,1,1,1,3,4,0,1
135,28,4,4,2,1,1,1,3,0,2
136,20,2,4,0,1,1,3,2,0,1
137,37,2,3,5,1,0,3,1,0,3
138,48,1,3,16,0,1,2,3,0,1
139,30,3,4,2,0,0,3,4,0,3
140,24,2,4,3,1,1,2,1,1,1
141,23,4,4,1,0,1,1,3,0,2
142,23,3,3,1,1,0,3,4,0,3
143,42,4,4,3,0,0,1,4,0,3
144,27,3,3,4,1,1,3,4,0,3
145,34,4,4,4,1,1,1,4,0,2
146,26,4,4,2,1,1,3,3,0,3
147,35,3,3,6,1,0,2,3,0,3
148,32,2,3,4,1,1,3,2,0,3
149,40,2,3,3,1,1,3,4,0,3
150,30,4,4,3,0,0,1,4,0,3
151,27,2,4,4,1,1,1,4,0,1
152,43,4,4,5,1,1,1,4,0,1
153,27,3,3,2,1,1,3,3,0,3
154,32,4,4,4,1,0,2,4,0,3
155,27,2,2,5,1,1,1,2,0,3
156,38,2,2,6,0,0,2,3,0,3
157,35,4,4,5,1,1,1,4,0,2
158,31,1,2,1,1,0,4,4,0,1
159,26,4,4,1,0,1,2,4,0,3
160,31,4,4,1,1,0,3,3,0,3
161,22,4,4,1,0,1,2,4,0,1
162,29,3,3,5,1,1,3,3,0,2
163,30,4,4,1,1,0,1,4,0,3
164,22,2,4,1,1,1,1,4,0,1
165,40,3,3,8,1,1,1,3,0,1
166,27,3,3,3,1,1,3,3,0,3
167,42,4,4,5,1,0,2,4,0,3
168,22,3,3,1,1,1,3,1,0,1
169,31,4,4,4,1,1,1,4,0,2
170,33,2,2,6,1,1,3,4,0,3
171,45,4,4,1,0,1,1,4,0,1
172,40,4,4,6,1,1,1,4,0,3
173,30,4,4,1,0,0,3,4,0,3
174,32,4,4,4,0,1,1,4,0,3
175,26,2,3,3,1,1,2,4,0,3
176,30,3,1,1,1,1,3,2,0,1
177,25,4,4,5,1,1,1,4,0,2
178,28,2,1,5,1,1,2,1,0,1
179,30,4,4,2,1,0,1,3,0,1
180,28,3,4,2,1,1,2,3,0,2
181,37,3,3,4,1,1,3,3,0,3
182,31,4,4,2,1,0,1,3,0,3
183,25,3,3,3,1,1,2,1,0,3
184,37,4,4,4,1,1,3,3,0,3
185,30,3,4,4,1,1,2,4,0,3
186,27,2,3,1,0,0,3,4,0,1
187,35,4,4,3,1,1,2,4,0,3
188,34,4,4,2,0,0,1,4,0,1
189,28,2,4,1,1,1,4,4,0,1
190,26,2,2,5,1,0,3,3,0,3
191,26,3,4,3,1,1,3,3,0,2
192,34,1,2,1,1,1,4,4,0,1
193,27,2,2,2,1,1,2,3,0,3
194,26,4,4,5,1,1,3,3,0,1
195,22,2,3,3,1,1,2,4,0,1
196,42,1,3,5,1,1,3,4,0,3
197,33,4,4,2,1,0,1,4,0,3
198,48,1,1,8,1,1,2,2,0,1
199,34,4,4,5,1,1,1,3,0,2
200,44,4,4,7,1,1,2,4,0,2
201,25,3,2,2,1,0,3,2,0,3
202,43,1,3,7,1,0,2,2,1,1
203,24,2,2,3,1,1,3,1,0,1
204,36,4,4,4,1,1,1,4,0,1
205,19,3,3,1,1,1,3,3,0,3
206,31,2,2,5,1,1,2,1,0,1
207,24,2,2,3,1,0,2,1,0,1
208,29,4,4,3,1,1,1,3,0,2
209,23,3,3,2,1,0,3,2,0,3
210,20,2,4,2,1,1,3,4,0,1
211,32,2,3,4,1,0,3,2,0,3
212,48,1,2,6,1,1,2,4,1,1
213,26,4,4,0,0,0,2,4,0,1
214,26,4,4,2,1,0,3,3,0,3
215,27,2,2,3,1,1,3,4,0,1
216,37,4,4,3,0,0,3,4,0,3
217,34,2,2,6,1,1,3,1,0,1
218,28,4,4,0,0,0,2,4,0,1
219,36,4,4,3,0,1,2,4,0,2
220,19,4,4,1,1,1,2,3,0,3
221,25,1,3,3,1,1,3,3,0,3
222,23,3,3,3,1,1,2,2,0,3
223,32,3,4,4,1,1,2,2,0,3
224,30,4,4,2,1,1,2,3,0,1
225,27,2,4,1,1,0,4,2,0,1
226,24,4,4,1,1,1,3,2,0,2
227,22,4,4,1,0,0,1,4,0,1
228,39,4,4,6,1,1,1,4,0,3
229,40,4,4,4,1,1,1,3,0,2
230,26,4,4,4,1,0,1,3,0,2
231,32,4,4,3,1,0,1,4,0,2
232,31,3,3,2,1,1,2,4,0,1
233,29,3,2,5,1,1,1,2,0,3
234,30,4,4,0,1,0,1,2,0,1
235,32,2,4,4,1,1,3,3,0,1
236,40,4,4,2,0,0,1,4,0,2
237,31,3,3,3,1,1,3,3,0,3
238,49,4,4,5,1,1,1,4,0,1
239,37,4,4,2,1,1,1,4,0,1
240,38,3,4,6,1,1,3,2,0,2
241,41,1,2,7,1,1,2,4,1,1
242,34,3,4,4,0,1,3,3,0,1
243,28,3,3,1,1,1,3,4,0,1
244,32,1,2,6,1,1,3,3,0,3
245,37,4,4,1,0,0,1,4,0,2
246,36,4,4,5,1,1,1,4,0,2
247,25,2,3,5,1,1,3,3,0,3
248,47,1,1,10,1,0,3,3,1,1
249,39,3,4,6,1,1,1,4,0,3
250,30,2,2,6,1,1,3,4,0,3
251,37,1,2,2,1,1,2,3,0,1
252,30,2,2,6,1,1,2,4,0,1
253,33,3,3,7,1,1,2,2,0,1
254,25,3,3,2,1,1,3,2,0,3
255,31,4,4,5,1,1,1,4,0,3
256,27,2,4,4,1,1,3,3,0,1
257,28,3,4,2,0,1,2,3,0,3
258,42,4,4,5,0,1,1,4,0,2
259,43,1,1,1,1,1,3,3,0,1
260,45,4,4,4,1,1,1,4,0,3
261,22,4,4,1,1,1,1,4,0,2
262,37,4,3,1,1,0,1,4,0,1
263,37,4,4,3,1,1,1,4,0,2
264,32,4,4,3,1,0,1,4,0,3
265,35,3,3,7,1,0,3,4,0,3
266,27,3,4,5,1,1,1,4,0,3
267,39,2,4,6,1,0,3,3,0,2
268,30,2,3,6,1,1,3,1,0,1
269,38,4,4,5,0,0,1,3,0,2
270,38,4,4,6,1,1,1,4,0,3
271,25,1,2,5,1,1,2,4,0,3
272,35,4,4,4,0,1,1,4,0,2
273,38,3,3,11,0,1,2,3,0,1
274,29,2,2,1,1,1,3,2,0,3
275,45,3,4,2,0,1,2,3,0,1
276,32,2,4,1,1,1,3,3,0,3
277,20,3,4,2,1,1,1,2,0,1
278,30,4,4,0,0,0,2,4,0,1
279,31,3,3,3,1,1,3,1,0,3
280,30,4,4,1,1,1,1,4,0,1
281,30,3,4,3,1,1,2,4,0,1
282,29,4,4,3,1,1,1,4,0,2
283,43,1,1,6,1,1,2,3,0,1
284,33,1,2,0,1,1,3,4,0,1
285,45,2,2,5,1,0,1,2,1,1
286,27,3,3,3,1,0,2,4,0,3
287,30,2,3,2,1,0,3,4,0,1
288,24,2,4,4,1,1,3,3,0,3
289,24,3,4,4,1,1,2,3,0,3
290,48,2,1,8,1,0,3,3,0,1
291,39,2,2,9,1,0,3,2,0,3
292,28,3,4,2,0,1,3,3,0,2
293,40,2,3,6,1,1,3,4,0,3
294,38,2,2,6,1,0,3,3,0,1
295,19,1,2,1,1,1,2,4,0,3
296,43,1,3,2,1,1,1,3,0,1
297,34,3,3,6,0,0,2,4,0,1
298,34,3,3,1,0,0,2,4,0,1
299,23,4,4,1,0,0,2,4,0,1
300,49,4,4,4,1,1,2,4,0,2
301,33,4,4,3,0,0,1,4,0,3
302,25,4,4,1,0,1,2,4,0,2
303,34,3,4,4,1,1,3,4,0,1
304,42,4,4,5,0,1,1,4,0,2
305,40,2,3,4,1,1,3,4,0,3
306,25,2,2,3,1,1,3,4,0,3
307,22,4,4,0,1,1,1,4,0,1
308,21,4,4,0,0,0,2,4,0,1
309,40,3,4,2,1,1,1,4,0,3
310,36,1,2,4,1,1,3,3,0,1
311,23,4,4,1,1,0,1,3,0,1
312,42,2,3,1,0,1,3,4,0,1
313,30,4,4,3,1,1,1,4,0,3
314,27,3,4,4,1,1,3,2,0,1
315,40,3,4,6,1,1,1,2,0,1
316,47,1,3,6,1,1,1,3,1,1
317,23,4,4,1,1,0,2,4,0,3
318,30,2,2,5,1,1,3,1,1,1
319,36,2,3,6,1,1,2,4,0,3
320,33,4,4,3,0,1,3,4,0,3
321,21,2,2,1,1,1,2,1,0,1
322,30,1,2,2,1,0,3,4,0,3
323,27,3,4,2,1,0,3,4,0,3
324,28,4,4,1,1,0,3,2,0,3
325,32,3,3,5,1,1,2,3,0,3
326,36,2,3,3,1,1,3,1,1,3
327,27,4,4,4,1,1,1,3,0,2
328,46,4,3,4,0,1,1,4,0,2
329,33,3,3,6,1,1,3,2,0,2
330,48,4,4,4,1,1,1,3,0,3
331,25,4,4,1,1,1,1,4,0,2
332,24,4,4,2,1,0,1,3,0,3
333,37,4,4,4,0,1,1,4,0,2
334,25,3,3,1,1,1,3,2,0,1
335,30,4,4,3,0,1,2,3,0,2
336,29,4,4,3,1,0,1,3,0,3
337,25,2,2,1,1,1,2,4,0,1
338,25,2,3,2,1,1,3,4,0,1
339,21,4,4,1,1,1,3,3,0,3
340,30,1,2,8,1,1,3,4,0,1
341,48,4,4,5,0,1,1,4,0,2
342,24,3,4,2,1,1,1,3,0,3
343,27,2,2,1,1,0,3,4,0,1
344,25,3,3,1,1,1,4,4,0,1
345,34,4,4,4,1,1,1,4,0,1
346,38,2,2,6,1,1,3,2,0,1
347,30,1,2,2,1,1,3,3,1,1
348,22,4,4,0,1,0,1,4,0,1
349,32,4,4,3,1,1,1,4,0,3
350,28,4,4,2,0,1,2,4,0,3
351,49,2,3,6,1,1,3,4,0,1
352,27,2,2,5,1,1,3,1,0,3
353,49,4,4,4,1,0,1,4,0,1
354,40,4,4,4,0,1,2,4,0,2
355,30,3,4,5,1,1,1,4,0,3
356,22,2,2,0,1,1,2,4,0,1
357,22,2,2,1,1,1,4,4,0,3
358,29,3,2,3,1,1,2,2,1,3
359,39,3,4,1,1,0,1,4,0,1
360,32,4,4,3,1,1,2,4,0,3
361,42,4,4,9,1,1,1,4,0,3
362,36,4,4,3,1,1,1,4,0,2
363,37,2,2,5,1,1,2,2,0,1
364,46,1,2,5,1,1,2,2,0,1
365,32,2,3,3,1,1,3,3,0,1
366,32,4,4,1,0,0,1,4,0,3
367,40,2,4,2,1,1,2,4,0,3
368,33,4,4,1,0,0,1,4,0,1
369,42,4,4,5,1,1,1,4,0,2
370,20,3,4,0,1,1,3,2,0,1
371,48,2,1,16,1,0,3,3,0,1
372,24,3,4,1,1,1,2,1,0,3
373,34,2,2,6,1,1,3,3,0,1
374,20,3,4,1,1,1,2,4,0,2
375,41,4,4,5,1,1,1,4,0,2
376,37,4,4,3,1,1,1,4,0,2
377,38,2,3,6,1,1,3,3,0,1
378,23,2,4,4,1,1,3,3,0,3
379,26,2,2,3,1,1,3,3,0,1
380,40,4,4,2,1,1,1,4,0,2
381,29,2,2,5,1,1,3,1,1,1
382,23,3,3,1,1,1,3,2,0,3
383,44,4,4,2,1,1,1,4,0,1
384,41,4,3,5,1,1,2,4,0,2
385,42,2,3,1,0,1,1,4,0,1
386,25,2,3,2,1,1,2,1,0,1
387,42,3,3,5,1,1,1,1,0,3
388,36,4,4,4,0,1,1,4,0,2
389,27,4,4,1,1,1,1,4,0,1
390,40,1,2,6,1,1,2,2,1,1
391,42,1,1,6,1,1,2,2,1,1
392,20,3,4,0,1,1,3,2,0,1
393,47,2,3,6,1,1,1,4,0,1
394,44,4,4,4,1,0,1,4,0,3
395,37,4,4,6,1,0,1,4,0,3
396,26,3,4,3,1,1,2,4,0,2
397,37,2,2,1,1,0,4,4,0,1
398,23,2,2,3,1,1,3,3,0,3
399,41,3,3,5,1,1,2,3,0,1
400,45,3,3,5,1,1,1,2,0,1
401,40,2,2,2,1,0,2,2,1,1
402,33,4,4,2,1,1,1,4,0,1
403,35,4,4,4,0,0,2,4,0,3
404,36,4,4,3,1,1,2,4,0,3
405,30,3,3,5,1,0,3,2,0,3
406,41,4,4,7,1,1,1,4,0,3
407,19,2,2,1,1,1,2,3,0,1
408,41,4,4,5,1,0,1,4,0,2
409,40,2,4,6,0,1,2,3,0,3
410,25,3,4,3,1,1,2,3,0,3
411,28,2,2,3,1,1,3,4,0,1
412,40,3,4,6,1,1,1,4,0,3
413,32,3,3,3,1,1,3,1,0,1
414,40,2,2,8,1,1,2,2,0,1
415,24,3,4,2,1,1,2,1,0,1
416,24,4,4,1,1,1,3,1,0,1
417,32,2,2,4,1,1,3,3,0,3
418,23,4,4,1,1,0,2,3,0,2
419,43,1,3,6,1,1,3,2,1,1
420,33,3,4,8,1,1,3,4,0,3
421,25,4,4,2,1,1,1,3,0,3
422,31,1,2,1,1,1,4,4,0,1
423,30,1,2,1,1,1,3,4,0,1
424,22,4,4,2,0,1,1,4,0,1
