,age,education,partner_education,n_children,islam,working,husband_occupation,living_standard,media_exposure,contraceptive
0,21,2,3,1,1,1,3,2,0,3
1,45,2,3,5,1,1,3,4,0,1
2,27,4,4,1,1,1,3,3,0,1
3,25,4,4,2,1,1,3,4,0,3
4,47,2,2,7,1,1,3,3,0,1
5,36,4,4,4,1,1,1,4,0,2
6,28,3,4,6,1,1,1,4,0,2
7,44,4,4,5,1,1,1,4,0,2
8,34,4,4,4,1,1,1,4,0,2
9,45,2,2,4,1,1,3,4,0,1
10,44,4,4,8,1,1,1,4,0,2
11,34,3,4,6,1,1,3,4,0,1
12,47,3,4,8,1,1,1,4,0,2
13,43,2,3,6,1,1,3,4,0,1
14,34,4,4,4,1,1,3,3,0,3
15,19,3,4,1,1,1,3,2,0,3
16,36,2,3,6,1,1,3,4,0,1
17,45,1,2,7,1,1,3,3,1,1
18,18,2,3,1,1,1,3,3,0,1
19,37,4,4,4,1,1,1,4,0,2
20,32,3,3,6,1,1,3,4,0,1
21,12,4,4,1,1,1,1,4,0,1
22,41,4,4,2,1,1,3,4,0,3
23,26,3,4,4,1,1,1,3,0,2
24,33,1,2,4,1,1,3,4,0,1
25,21,4,4,2,1,1,3,3,0,3
26,29,4,4,1,1,1,3,3,0,1
27,27,4,4,1,1,1,3,3,0,1
28,44,4,4,7,1,1,1,4,0,2
29,35,1,2,4,1,1,3,4,0,1
30,26,3,4,0,1,1,3,2,0,1
31,26,4,4,1,1,1,1,4,0,1
32,36,4,4,6,1,1,1,3,0,2
33,44,1,2,7,1,1,2,1,1,1
34,28,4,4,1,1,1,1,4,0,1
35,46,2,2,2,1,1,3,4,0,1
36,32,4,4,3,1,1,3,3,0,3
37,22,4,4,1,1,1,1,4,0,1
38,22,2,3,2,1,1,3,3,0,1
39,25,1,2,4,1,1,3,4,0,1
40,36,4,4,3,1,1,3,3,0,3
41,23,4,4,1,1,1,1,4,0,1
42,39,3,4,3,1,1,3,4,0,3
43,46,2,3,5,1,1,3,4,0,1
44,25,1,2,4,1,1,3,2,0,1
45,40,4,4,4,1,1,3,4,0,2
46,30,3,4,0,1,1,3,2,0,1
47,50,2,2,7,1,1,3,3,0,1
48,38,3,4,3,1,1,3,4,0,3
49,29,4,4,1,1,1,1,4,0,1
50,37,4,4,4,1,1,3,4,0,2
51,36,4,4,3,1,1,1,4,0,3
52,44,3,4,8,1,1,1,4,0,3
53,36,4,4,2,1,1,1,4,0,3
54,29,2,3,1,1,1,3,2,0,1
55,37,4,4,3,1,1,3,4,0,3
56,42,4,4,4,1,1,3,3,0,2
57,41,4,4,3,1,1,1,4,0,3
58,27,4,4,1,1,1,1,4,0,1
59,25,4,4,1,1,1,3,3,0,1
60,40,2,3,6,1,1,3,4,0,1
61,29,4,4,1,1,1,1,3,0,1
62,20,3,3,1,1,1,3,2,0,1
63,27,2,3,4,1,1,3,4,0,1
64,22,3,4,1,1,1,3,2,0,3
65,33,4,4,3,1,1,1,4,0,3
66,19,3,4,2,1,1,3,3,0,3
67,20,2,3,2,1,1,3,1,0,3
68,29,2,3,1,1,1,3,4,0,1
69,38,4,4,4,1,1,3,4,0,2
70,27,3,4,3,1,1,3,4,0,3
71,26,4,4,1,1,1,3,3,0,3
72,33,3,3,6,1,1,3,4,0,1
73,24,4,4,2,1,1,3,3,0,3
74,39,2,3,6,1,1,3,4,0,1
75,44,4,4,1,1,1,1,4,0,1
76,47,4,4,5,1,1,1,4,0,2
77,49,3,4,7,1,1,1,4,0,3
78,31,2,3,2,1,1,3,3,0,3
79,39,4,4,2,1,1,1,4,0,3
80,47,2,2,7,1,1,3,3,0,1
81,38,3,4,3,1,1,3,3,0,3
82,38,3,3,6,1,1,3,2,0,1
83,34,3,4,5,1,1,3,4,0,1
84,28,4,4,1,1,1,1,4,0,1
85,37,4,4,4,1,1,1,4,0,2
86,32,4,4,1,1,1,3,3,0,3
87,28,4,4,1,1,1,1,4,0,1
88,40,3,4,4,1,1,1,3,0,3
89,37,4,4,3,1,1,1,4,0,3
90,42,4,4,4,1,1,1,4,0,2
91,41,3,4,4,1,1,3,3,0,3
92,17,2,2,2,1,1,3,1,0,1
93,25,4,4,1,1,1,3,3,0,1
94,22,4,4,2,1,1,3,3,0,3
95,35,2,3,6,1,1,3,4,0,1
96,33,4,4,3,1,1,1,4,0,3
97,35,4,4,4,1,1,1,4,0,2
98,23,4,4,1,1,1,3,3,0,1
99,45,4,4,7,1,1,1,4,0,2
100,38,4,4,3,1,1,1,4,0,3
101,29,2,3,3,1,1,3,3,0,3
102,33,4,4,2,1,1,1,4,0,1
103,28,3,3,1,1,1,3,3,0,1
104,43,4,4,5,1,1,1,4,0,2
105,45,4,4,3,1,1,1,4,0,2
106,35,1,2,4,1,1,3,2,0,1
107,33,3,4,6,1,1,3,4,0,2
108,43,4,4,5,1,1,1,4,0,2
109,34,3,4,6,1,1,1,3,0,2
110,34,4,4,4,1,1,1,4,0,2
111,26,3,3,2,1,1,3,4,0,1
112,27,2,3,4,1,1,3,3,0,1
113,46,4,4,0,1,0,1,4,0,1
114,23,3,4,1,1,1,3,2,0,3
115,36,4,4,3,1,1,3,4,0,3
116,23,2,3,2,1,1,3,1,0,3
117,37,2,3,6,1,1,3,3,0,1
118,26,3,3,1,1,1,3,2,0,3
119,46,1,1,0,1,1,3,4,0,1
120,34,3,4,6,1,1,3,2,0,1
121,36,4,4,2,1,1,3,3,0,3
122,37,4,4,2,1,1,1,4,0,1
123,47,2,2,0,1,1,3,4,0,1
124,22,3,3,3,1,1,3,2,0,3
125,47,2,3,7,1,1,3,3,0,1
126,36,3,4,6,1,1,3,4,0,3
127,29,3,3,2,1,1,3,2,0,3
128,48,3,4,7,1,1,1,4,0,3
129,33,2,2,6,1,1,3,3,0,3
130,25,4,4,1,1,1,1,4,0,1
131,39,4,4,6,1,1,1,4,0,2
132,43,2,1,6,1,1,3,4,0,1
133,25,3,4,2,1,1,3,3,0,3
134,29,3,3,3,1,1,3,2,0,3
135,44,4,4,8,1,1,1,4,0,2
136,21,2,3,4,1,1,3,1,0,3
137,40,4,4,5,1,1,1,4,0,2
138,40,4,4,3,1,1,3,3,0,3
139,31,4,4,4,1,1,3,3,0,2
140,35,3,4,0,1,1,3,3,0,1
141,25,3,3,2,1,1,3,3,0,3
142,30,3,4,2,1,1,3,4,0,1
143,44,4,4,1,1,1,1,4,0,1
144,24,3,4,1,1,1,3,3,0,1
145,39,4,4,3,1,1,3,3,0,3
146,47,1,1,0,1,1,3,4,0,1
147,22,2,3,3,1,1,3,1,0,3
148,24,4,4,0,1,0,1,4,0,1
149,29,2,3,2,1,1,3,4,0,1
150,48,4,4,1,1,0,1,4,0,1
151,19,2,3,2,1,1,3,1,0,1
152,35,2,2,0,1,1,3,4,0,3
153,49,2,3,7,1,1,3,2,0,1
154,24,4,4,1,1,1,3,3,0,1
155,30,3,4,4,1,1,3,3,0,2
156,26,4,4,2,1,1,3,3,0,3
157,43,4,4,3,1,1,1,4,0,3
158,28,3,4,2,1,1,3,3,0,3
159,22,4,4,2,1,1,3,3,0,3
160,24,3,4,2,1,1,3,3,0,3
161,25,4,4,1,1,1,1,3,0,1
162,34,3,4,5,1,1,3,4,0,1
163,25,4,4,1,1,1,3,3,0,1
164,48,2,3,7,1,1,3,4,0,1
165,42,3,4,8,1,1,1,4,0,3
166,26,3,4,0,1,1,3,3,0,1
167,31,2,2,2,1,1,3,1,1,1
168,21,3,3,1,1,1,3,2,0,3
169,23,4,4,1,1,1,3,3,0,1
170,40,4,4,3,1,1,1,4,0,1
171,45,4,4,4,1,1,1,4,0,2
172,27,3,4,0,1,1,3,1,0,1
173,18,4,4,2,1,1,3,3,0,3
174,28,3,4,1,1,1,3,2,0,3
175,25,4,4,0,1,1,3,3,0,1
176,35,3,4,4,1,1,1,3,0,3
177,46,1,1,0,1,1,3,4,0,1
178,38,2,3,4,1,1,3,2,0,3
179,51,1,2,8,1,1,3,1,1,1
180,20,3,4,0,1,1,3,3,0,1
181,42,1,2,2,1,1,3,4,0,1
182,28,3,4,2,1,1,3,3,0,3
183,37,3,4,4,1,1,3,3,0,2
184,46,4,4,4,1,1,1,4,0,2
185,28,2,3,2,1,1,3,4,0,3
186,49,2,3,5,1,1,3,4,0,1
187,46,4,4,6,1,1,1,4,0,2
188,25,4,4,0,1,1,3,3,0,1
189,42,2,2,7,1,1,3,3,0,1
190,28,2,2,2,1,1,3,1,0,1
191,42,4,4,3,1,1,3,4,0,3
192,29,3,4,2,1,1,3,3,0,3
193,28,4,4,2,1,1,1,4,0,3
194,36,3,4,6,1,1,3,3,0,1
195,27,2,3,3,1,1,3,4,0,3
196,28,2,3,2,1,1,3,4,0,1
197,35,1,2,4,1,1,3,1,1,1
198,23,4,4,1,1,1,1,4,0,1
199,35,4,4,2,1,1,1,4,0,1
200,36,4,4,4,1,1,1,4,0,2
201,26,2,3,1,1,1,3,1,0,3
202,28,1,2,4,1,1,3,3,0,3
203,45,3,4,8,1,1,1,4,0,3
204,44,1,2,2,1,1,3,4,0,1
205,20,4,4,0,1,0,1,4,0,1
206,44,2,1,0,1,1,3,4,0,1
207,23,4,4,1,1,1,1,3,0,1
208,33,4,4,3,1,1,3,4,0,3
209,23,3,4,1,1,1,3,3,0,3
210,36,4,4,3,1,1,3,4,0,3
211,31,3,4,6,1,1,3,4,0,1
212,39,2,2,0,1,1,3,4,0,1
213,25,2,3,1,1,1,3,1,0,3
214,46,3,4,7,1,1,1,4,0,3
215,24,2,3,2,1,1,3,4,0,1
216,35,3,4,6,1,1,3,2,0,1
217,16,3,3,1,1,1,3,2,0,3
218,22,4,4,1,1,1,3,2,0,1
219,37,3,4,5,1,1,3,4,0,2
220,34,4,4,4,1,1,1,4,0,2
221,20,4,4,1,1,1,3,2,0,3
222,42,4,4,1,1,0,1,4,0,1
223,32,4,4,4,1,1,1,4,0,2
224,36,4,4,3,1,1,1,4,0,3
225,45,4,4,1,1,1,1,4,0,1
226,45,4,4,5,1,1,1,4,0,2
227,26,4,4,1,1,1,3,3,0,3
228,33,3,4,3,1,1,3,4,0,3
229,19,4,4,1,1,1,3,3,0,1
230,35,4,4,4,1,1,1,4,0,2
231,25,3,4,2,1,1,3,3,0,3
232,28,1,2,4,1,1,3,2,0,3
233,32,3,4,4,1,1,3,4,0,3
234,45,2,3,5,1,1,3,4,0,1
235,30,4,4,1,1,1,1,4,0,1
236,45,2,3,7,1,1,3,2,0,1
237,45,4,4,3,1,1,1,4,0,3
238,46,1,2,0,1,1,3,4,0,1
239,40,4,4,3,1,1,1,4,0,2
240,37,4,4,3,1,1,1,4,0,3
241,27,4,4,1,1,1,1,4,0,1
242,38,4,4,3,1,1,3,3,0,3
243,39,4,4,3,1,1,1,4,0,2
244,39,4,4,6,1,1,1,4,0,2
245,39,4,4,3,1,1,3,4,0,3
246,47,2,1,0,1,1,3,4,0,1
247,20,3,4,2,1,1,3,4,0,3
248,28,3,4,3,1,1,3,4,0,3
249,36,4,4,2,1,1,1,4,0,3
250,22,4,4,1,1,1,3,2,0,1
251,27,4,4,0,1,0,1,4,0,1
252,38,4,4,4,1,1,1,4,0,2
253,35,1,2,4,1,1,3,2,1,1
254,24,4,4,1,1,1,3,3,0,3
255,17,3,4,1,1,1,3,3,0,1
256,29,4,4,2,1,1,3,3,0,3
257,23,3,4,2,1,1,3,3,0,3
258,48,1,2,4,1,1,3,4,0,1
259,26,3,4,1,1,1,3,3,0,1
260,36,3,3,5,1,1,3,4,0,1
261,40,3,4,5,1,1,3,4,0,1
262,35,2,3,3,1,1,3,4,0,1
263,42,4,4,5,1,1,1,4,0,2
264,22,4,4,1,1,1,3,3,0,1
265,36,4,4,3,1,1,1,4,0,3
266,45,2,3,6,1,1,3,4,0,1
267,43,1,2,9,1,1,3,3,0,1
268,24,4,4,1,1,1,1,4,0,1
269,47,2,2,6,1,1,3,4,0,1
270,31,4,4,1,1,1,1,4,0,1
271,19,3,3,3,1,1,3,2,0,3
272,46,1,2,8,1,1,3,3,1,1
273,46,4,4,7,1,1,1,4,0,3
274,20,4,4,1,1,1,1,4,0,1
275,26,3,3,3,1,1,3,1,0,3
276,37,4,4,6,1,1,1,4,0,2
277,32,4,4,3,1,1,3,3,0,3
278,21,4,4,2,1,1,3,3,0,3
279,43,2,3,5,1,1,3,4,0,1
280,23,4,4,1,1,1,3,3,0,3
281,26,3,4,2,1,1,3,3,0,3
282,45,4,4,5,1,1,1,4,0,2
283,49,3,3,6,1,1,3,4,0,1
284,33,3,4,3,1,1,3,4,0,3
285,31,3,4,1,1,1,3,3,0,1
286,16,2,3,1,1,1,3,3,0,1
287,45,1,2,2,1,1,3,4,0,1
288,31,3,4,7,1,1,3,4,0,2
289,46,4,4,8,1,1,1,4,0,2
290,22,3,4,2,1,1,3,3,0,3
291,28,4,4,0,1,1,1,4,0,1
292,34,4,4,2,1,1,1,4,0,3
293,23,2,3,1,1,1,3,3,0,1
294,47,1,2,9,1,1,3,3,0,1
295,19,2,3,1,1,1,3,2,0,3
296,45,1,2,4,1,1,3,4,0,1
297,26,2,3,1,1,1,3,1,0,1
298,22,3,4,1,1,1,3,3,0,1
299,28,4,4,1,1,1,1,4,0,1
300,26,3,4,1,1,1,3,2,0,3
301,29,3,3,1,1,1,3,3,0,1
302,47,4,4,1,1,1,1,4,0,1
303,53,4,4,6,1,1,1,4,0,2
304,29,3,4,1,1,1,3,2,0,3
305,48,1,2,2,1,1,3,4,0,1
306,24,3,3,1,1,1,3,1,0,3
307,46,4,4,8,1,1,1,4,0,2
308,36,4,4,3,1,1,3,4,0,3
309,20,3,3,1,1,1,3,1,0,3
310,43,2,3,7,1,1,3,3,0,1
311,24,2,3,1,1,1,3,3,0,1
312,41,4,4,2,1,1,1,4,0,3
313,25,2,3,4,1,1,3,4,0,3
314,35,3,3,6,1,1,3,4,0,1
315,23,3,4,0,1,1,3,3,0,1
316,39,4,4,2,1,1,3,4,0,3
317,43,2,1,6,1,1,3,4,0,1
318,30,3,4,2,1,1,3,3,0,3
319,20,2,3,1,1,1,3,2,0,1
320,21,3,3,1,1,1,3,1,0,3
321,23,4,4,1,1,1,1,4,0,1
322,39,4,4,3,1,1,1,4,0,3
323,30,4,4,2,1,1,1,4,0,3
324,37,4,4,4,1,1,1,4,0,2
325,25,3,3,1,1,1,3,2,0,3
326,43,4,4,5,1,1,1,4,0,2
327,25,2,3,1,1,1,3,1,0,3
328,36,4,4,3,1,1,3,4,0,3
329,32,4,4,4,1,1,1,4,0,2
330,42,4,4,8,1,1,1,4,0,2
331,34,3,4,3,1,1,3,4,0,3
332,38,4,4,4,1,1,3,3,0,3
333,42,4,4,3,1,1,1,4,0,2
334,46,2,2,7,1,1,3,3,0,1
335,48,2,1,0,1,1,3,4,0,1
336,21,3,4,2,1,1,3,3,0,3
337,45,4,4,8,1,1,1,4,0,2
338,24,4,4,2,1,1,3,3,0,3
339,38,3,4,3,1,1,3,3,0,3
340,27,2,3,2,1,1,3,4,0,1
341,45,2,2,0,1,1,3,4,0,1
342,24,2,3,2,1,1,3,4,0,1
343,48,1,2,6,1,1,3,4,0,1
344,30,2,3,2,1,1,3,3,0,1
345,43,1,2,0,1,1,3,4,0,1
346,45,1,1,9,1,1,2,3,0,1
347,31,4,4,3,1,1,3,4,0,3
348,18,3,4,1,1,1,3,3,0,1
349,37,4,4,2,1,1,1,4,0,3
350,35,3,4,3,1,1,3,4,0,3
351,28,3,4,3,1,1,3,4,0,3
352,31,1,2,4,1,1,3,2,0,1
353,36,2,3,6,1,1,3,4,0,1
354,45,2,2,7,1,1,3,3,0,3
355,19,2,3,2,1,1,3,1,0,1
356,22,3,4,0,1,1,3,3,0,1
357,26,4,4,0,1,0,3,3,0,1
358,46,1,2,8,1,1,3,1,1,1
359,24,3,4,2,1,1,3,4,0,3
360,39,4,4,4,1,1,1,4,0,2
361,42,4,4,1,1,0,1,4,0,1
362,47,3,4,7,1,1,1,4,0,3
363,21,3,4,0,1,1,3,3,0,1
364,21,4,4,1,1,1,1,3,0,1
365,26,3,4,1,1,1,3,2,0,3
366,40,4,4,2,1,1,1,4,0,3
367,34,4,4,4,1,1,3,4,0,3
368,25,2,3,3,1,1,3,4,0,1
369,44,4,4,3,1,1,1,4,0,2
370,49,1,2,8,1,1,3,3,0,1
371,38,4,4,2,1,1,1,4,0,1
372,51,3,4,7,1,1,1,4,0,3
373,28,4,4,4,1,1,1,3,0,2
374,43,4,4,3,1,1,1,4,0,2
375,24,3,4,2,1,1,3,3,0,3
376,25,4,4,1,1,1,3,3,0,1
377,49,1,2,7,1,1,3,3,0,1
378,44,4,4,4,1,1,1,4,0,2
379,26,3,3,2,1,1,3,3,0,3
380,26,2,2,2,1,1,3,4,0,1
381,47,4,4,4,1,1,1,4,0,2
382,34,3,4,3,1,1,3,4,0,3
383,23,2,3,1,1,1,3,1,0,3
384,21,2,3,4,1,1,3,2,0,3
385,39,4,4,4,1,1,3,3,0,3
386,28,2,2,2,1,1,3,1,0,1
387,22,3,4,2,1,1,3,3,0,3
388,19,2,3,1,1,1,3,2,0,1
389,27,4,4,1,1,1,1,4,0,1
390,19,3,4,1,1,1,3,2,0,3
391,44,1,1,4,1,1,3,2,0,1
392,24,3,3,1,1,1,3,1,0,3
393,24,3,4,2,1,1,3,4,0,1
394,37,4,4,3,1,1,3,3,0,3
