,age,education,partner_education,n_children,islam,working,husband_occupation,living_standard,media_exposure,contraceptive
0,32,3,4,4,1,1,3,3,0,1
1,27,4,4,2,1,1,1,4,0,1
2,47,4,4,4,1,1,1,4,0,2
3,25,3,4,1,1,1,3,3,0,3
4,27,1,2,1,1,1,3,4,0,1
5,24,4,4,1,1,0,1,4,0,1
6,30,4,4,2,1,1,1,4,0,3
7,37,2,3,4,1,1,3,3,0,1
8,37,3,4,4,1,1,3,4,0,3
9,29,3,3,2,1,1,3,2,0,1
10,45,4,4,1,1,0,1,4,0,1
11,48,1,1,8,1,1,2,3,0,1
12,36,1,2,4,1,1,3,2,1,1
13,27,4,4,1,1,1,3,3,0,3
14,49,4,4,4,1,1,1,4,0,2
15,49,1,2,7,1,1,3,4,0,1
16,49,1,1,5,1,1,3,2,0,1
17,47,3,4,4,1,1,1,4,0,2
18,50,3,4,8,1,1,2,4,0,1
19,24,4,4,2,1,1,1,4,0,3
20,32,3,4,4,1,1,3,3,0,1
21,27,2,3,1,1,1,3,2,0,1
22,23,4,4,1,1,1,3,3,0,3
23,38,4,4,3,1,1,1,4,0,3
24,20,3,4,2,1,1,3,3,0,3
25,36,4,4,4,1,1,1,4,0,2
26,49,1,2,9,1,1,2,1,0,1
27,31,3,4,4,1,1,3,4,0,1
28,48,4,4,5,1,1,1,4,0,2
29,37,3,4,3,1,1,1,4,0,3
30,45,1,2,8,1,1,3,4,0,1
31,47,1,2,7,1,1,3,4,0,1
32,40,2,3,8,1,1,3,3,0,1
33,36,4,4,2,1,1,3,3,0,1
34,29,4,4,2,1,1,3,3,0,1
35,30,3,4,7,1,1,3,3,0,2
36,49,4,4,6,1,1,1,4,0,2
37,31,3,4,4,1,1,3,4,0,3
38,25,4,4,1,1,1,1,4,0,3
39,29,2,2,1,1,1,3,2,0,1
40,25,3,4,2,1,1,3,3,0,3
41,36,4,4,1,1,1,1,4,0,1
42,23,2,2,1,1,1,3,1,0,1
43,26,3,4,2,1,1,3,3,0,3
44,19,4,4,2,1,1,3,2,0,1
45,31,4,4,4,1,1,1,4,0,2
46,36,4,4,2,1,1,1,4,0,3
47,20,2,3,1,1,1,3,3,0,1
48,41,1,2,4,1,1,3,2,0,1
49,43,3,4,3,1,1,2,4,0,3
50,32,4,4,3,1,1,1,4,0,3
51,18,2,3,2,1,1,3,2,0,1
52,17,2,2,3,1,1,3,1,0,1
53,29,2,3,4,1,1,3,3,0,1
54,47,3,4,4,1,1,3,4,0,3
55,43,4,4,3,1,1,1,4,0,2
56,39,3,4,4,1,1,3,4,0,1
57,44,4,4,1,1,0,1,4,0,1
58,45,4,4,4,1,1,1,4,0,2
59,25,4,4,2,1,1,1,4,0,1
60,40,2,3,7,1,1,3,4,0,1
61,50,1,2,4,1,1,3,3,0,1
62,21,3,4,1,1,1,3,3,0,3
63,28,4,4,2,1,1,3,3,0,1
64,24,2,2,1,1,1,3,1,0,1
65,37,4,4,6,1,1,1,4,0,2
66,29,3,3,2,1,1,3,2,0,1
67,36,4,4,2,1,1,3,2,0,1
68,48,4,4,4,1,1,1,4,0,2
69,44,1,2,7,1,1,3,2,0,1
70,34,3,4,3,1,1,1,4,0,3
71,45,4,4,5,1,1,1,4,0,2
72,24,4,4,1,1,1,3,3,0,3
73,41,1,2,7,1,1,3,4,0,1
74,36,4,4,3,1,1,1,4,0,2
75,45,4,4,4,1,1,1,4,0,2
76,43,4,4,6,1,1,1,4,0,2
77,17,2,3,2,1,1,3,3,0,1
78,36,4,4,4,1,1,1,3,0,2
79,30,2,3,2,1,1,3,3,0,1
80,30,1,2,2,1,1,3,3,0,1
81,45,4,4,5,1,1,1,4,0,2
82,44,2,2,9,1,1,3,3,0,1
83,23,3,3,1,1,1,3,2,0,1
84,53,3,4,8,1,1,2,4,0,1
85,34,2,3,2,1,1,3,2,0,1
86,32,3,3,4,1,1,3,2,0,1
87,46,1,2,2,1,1,3,3,0,1
88,45,4,4,8,1,1,1,4,0,2
89,38,4,4,2,1,1,1,4,0,1
90,43,4,4,7,1,1,1,4,0,3
91,20,3,3,1,1,1,3,1,0,3
92,48,3,4,7,1,1,2,4,0,3
93,35,3,4,7,1,1,1,4,0,3
94,20,2,1,3,1,1,3,1,0,1
95,41,1,1,2,1,1,3,2,0,1
96,43,2,3,7,1,1,3,4,0,1
97,43,3,4,8,1,1,3,4,0,1
98,18,4,4,1,1,1,1,3,0,3
99,42,3,4,4,1,1,1,4,0,3
100,25,4,4,1,1,1,1,3,0,1
101,23,4,4,1,1,1,3,3,0,3
102,48,4,4,6,1,1,1,4,0,2
103,43,4,4,4,1,1,1,4,0,2
104,24,3,3,1,1,1,3,2,0,1
105,32,3,3,4,1,1,3,3,0,1
106,32,4,4,2,1,1,1,4,0,3
107,22,1,2,2,1,1,3,2,0,1
108,21,3,4,2,1,1,3,3,0,3
109,22,4,4,2,1,1,3,3,0,1
110,21,3,3,2,1,1,3,2,0,3
111,34,1,2,4,1,1,3,2,1,1
112,48,2,3,4,1,1,3,3,0,1
113,20,3,4,2,1,1,3,3,0,3
114,38,4,4,4,1,1,1,4,0,2
115,40,3,4,2,1,1,3,3,0,1
116,40,4,4,4,1,1,1,4,0,2
117,30,2,3,2,1,1,3,3,0,1
118,18,4,4,2,1,1,3,3,0,1
119,36,4,4,2,1,1,1,3,0,1
120,37,3,4,4,1,1,3,3,0,3
121,47,3,4,8,1,1,3,3,0,1
122,23,4,4,1,1,1,3,3,0,3
123,28,4,4,3,1,1,1,4,0,3
124,20,2,3,1,1,1,3,2,0,1
125,19,4,4,2,1,1,3,3,0,3
126,26,2,3,1,1,1,3,4,0,1
127,41,1,2,7,1,1,3,3,0,1
128,51,4,4,6,1,1,1,4,0,2
129,27,1,2,1,1,1,3,3,0,1
130,31,4,4,3,1,1,1,4,0,3
131,43,4,4,2,1,1,1,4,0,1
132,43,2,3,8,1,1,3,4,0,1
133,47,1,2,1,1,1,3,4,0,1
134,15,4,4,1,1,1,2,3,0,1
135,19,4,4,2,1,1,1,4,0,3
136,24,3,4,2,1,1,3,3,0,3
137,36,3,4,4,1,1,3,4,0,2
138,25,2,4,2,1,1,3,3,0,1
139,46,4,4,3,1,1,1,4,0,2
140,24,3,4,2,1,1,3,3,0,3
141,46,1,1,5,1,1,3,1,0,1
142,46,4,4,5,1,1,1,4,0,2
143,42,2,3,4,1,1,3,4,0,1
144,36,3,4,3,1,1,3,4,0,1
145,49,3,4,6,1,1,3,4,0,3
146,22,3,3,2,1,1,3,3,0,1
147,48,3,4,4,1,1,2,4,0,3
148,16,3,3,1,1,1,3,3,0,1
149,42,2,3,4,1,1,3,3,0,1
150,34,3,4,2,1,1,3,3,0,1
151,42,4,4,3,1,1,1,4,0,1
152,39,1,2,2,1,1,3,2,0,1
153,21,3,3,1,1,1,3,1,0,3
154,37,4,4,4,1,1,1,4,0,2
155,33,2,3,2,1,1,3,4,0,1
156,24,3,4,2,1,1,3,3,0,3
157,30,4,4,2,1,1,1,4,0,1
158,37,3,4,3,1,1,3,4,0,3
159,39,3,4,3,1,1,3,4,0,3
160,34,4,4,4,1,1,1,4,0,2
161,40,2,3,4,1,1,3,2,0,1
162,48,3,4,7,1,1,3,4,0,1
